OBJECTID,Area_sqkm,TNRCC_ID,CP_ID,usgs_site_,station_nm,huc_cd,usgs_drain_sqmi,WAM_drain_sqmi,WAM_drai_1,Quad_ID,Quad_lat,Quad_lon
1,29.76610107,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,812,29.5,-95.5
2,635.5193778,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,811,29.5,-96.5
3,4.90050526,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,912,28.5,-95.5
4,8.06329408,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,911,28.5,-96.5
5,942.2349316,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,811,29.5,-96.5
6,942.2349316,8162000,K2,8162000,"Colorado Rv at Wharton, TX",12090302,42003,30601,79256.22615,811,29.5,-96.5
7,668.5714471,8161000,J1,8161000,"Colorado Rv at Columbus, TX",12090301,41640,30244,78331.6004,711,30.5,-96.5
8,668.5714471,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,711,30.5,-96.5
9,668.5714471,8162000,K2,8162000,"Colorado Rv at Wharton, TX",12090302,42003,30601,79256.22615,711,30.5,-96.5
10,366.47416,8161000,J1,8161000,"Colorado Rv at Columbus, TX",12090301,41640,30244,78331.6004,710,30.5,-97.5
11,366.47416,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,710,30.5,-97.5
12,366.47416,8162000,K2,8162000,"Colorado Rv at Wharton, TX",12090302,42003,30601,79256.22615,710,30.5,-97.5
13,1394.487149,8161000,J1,8161000,"Colorado Rv at Columbus, TX",12090301,41640,30244,78331.6004,811,29.5,-96.5
14,1394.487149,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,811,29.5,-96.5
15,1394.487149,8162000,K2,8162000,"Colorado Rv at Wharton, TX",12090302,42003,30601,79256.22615,811,29.5,-96.5
16,633.8862549,8161000,J1,8161000,"Colorado Rv at Columbus, TX",12090301,41640,30244,78331.6004,810,29.5,-97.5
17,633.8862549,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,810,29.5,-97.5
18,633.8862549,8162000,K2,8162000,"Colorado Rv at Wharton, TX",12090302,42003,30601,79256.22615,810,29.5,-97.5
19,828.8929135,8161000,J1,8161000,"Colorado Rv at Columbus, TX",12090301,41640,30244,78331.6004,710,30.5,-97.5
20,828.8929135,8159500,J2,8159500,"Colorado Rv at Smithville, TX",12090301,40371,29062,75270.23445,710,30.5,-97.5
21,828.8929135,8162500,K1,8162500,"Colorado Rv nr Bay City, TX",12090302,42240,30862,79932.21305,710,30.5,-97.5
