Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1940,1,100,17,55,193,190,37,15,"1,657","1,648",371,157,188,428,187,"2,068","2,068",0,410,"2,656",0,"1,149",625,"8,654","3,393","2,366","7,767",116,"7,055","6,319","1,559","1,024",292,"19,596","19,260",354,"8,654","30,224","24,815","22,724",822,"1,496","32,186","30,224"
1940,2,119,20,66,229,226,44,18,"3,783","2,233",441,225,270,615,227,"11,986","8,325","1,370",783,"3,592",0,"1,128",270,"18,173","2,093","1,131","11,448",492,"8,415","5,282","1,543","7,288","2,077","49,731","47,754","2,065","18,429","68,520","61,756","59,141","2,472","1,683","72,967","68,520"
1940,3,208,35,115,402,395,77,31,701,586,429,0,0,0,158,"1,303","1,299",2,593,"2,909",0,751,0,"8,289","3,580","2,628","6,600",112,"5,907","5,192","1,162","8,246","2,350","33,924","32,288","1,725","8,598","33,924","33,924","33,924",0,"1,398","36,125","33,924"
1940,4,654,110,362,"1,261","1,241",242,98,"15,584","4,428",639,518,620,"1,402",193,"56,676","43,115","5,075","13,608","11,413","1,824","2,477",0,"105,496","33,688","26,570","25,923","1,334","17,698","9,202","3,681","18,001","5,130","184,405","179,411","5,263","108,495","195,217","195,217","195,217","2,841","1,713","207,887","195,217"
1940,5,"2,613",441,"1,444","5,040","4,960",968,390,"9,039","4,354",95,562,673,"1,520",359,"73,731","48,119","9,584","12,786","15,445","4,792","2,752",0,"118,630","27,678","24,279","20,713",883,"15,268","9,643","2,195","9,084","2,589","167,888","165,093","2,945","120,193","203,226","187,852","181,908","3,683","1,805","216,415","203,226"
1940,6,"30,371","5,120","16,791","58,586","57,661","11,249","4,529","39,246","33,018","1,978","4,033","4,831","10,979","3,036","143,074","128,299","5,529","73,885","30,070","7,587","8,530","3,671","209,749","35,253","32,665","63,151","4,320","36,522","9,016","1,848","35,025","9,982","389,636","377,671","12,612","214,817","507,819","451,786","430,124","10,636","2,554","540,776","507,819"
1940,7,"2,928",494,"1,619","5,649","5,559","1,085",437,"4,522","2,180",782,147,176,391,377,"17,767","17,659",41,"13,025","9,785",741,"2,366",40,"87,439","45,294","17,361","27,251","1,617","17,286","6,993","2,188","9,538","2,718","160,453","156,620","4,040","99,114","750,187","372,589","226,610","17,380","3,280","798,874","750,187"
1940,8,"7,262","1,224","4,015","14,008","13,787","2,690","1,083","5,785","5,785",410,429,514,"1,159","2,397","68,719","50,811","6,701","26,642","7,031",395,"1,714",0,"129,452","50,546","44,505","8,203",0,"8,203","8,203","5,044","1,338",381,"140,541","140,300",255,"129,452","151,484","145,276","142,876",614,"1,473","161,316","151,484"
1940,9,"3,293",555,"1,820","6,351","6,251","1,219",491,"5,130","4,456",55,155,185,412,"3,326","19,555","16,959",971,"9,164","1,713",3,442,0,"39,120","16,144","12,875","4,788",0,"4,788","4,788","1,262",701,200,"45,421","45,294",134,"39,120","53,068","53,068","53,068","2,009","1,624","56,512","53,068"
1940,10,665,112,368,"1,284","1,263",246,99,"1,647","1,265",0,181,216,482,10,"5,109","5,109",0,"3,462","3,478",19,893,0,"14,849","5,432","3,844","8,311",315,"6,371","4,367",951,"6,806","1,940","40,639","38,999","1,729","15,015","86,432","55,446","43,467",743,"1,488","92,042","86,432"
