Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1850,1,3938,641,2323,25722,23370,15612,695,43501,35824,2692,1588,3079,15492,8321,91300,84033,2667,31919,23486,4342,9091,6286,149691,19385,10958,33737,1119,17080,9787,4720,18912,4321,273555,266533,9484,166320,385471,313170,300124,8890,3393,448732,422970
1850,2,3933,649,2298,24417,22330,14588,708,37242,30820,2201,1320,2628,13575,7204,80601,74523,2388,29918,19685,3632,7197,4971,132670,18063,10199,24414,873,13324,7632,3683,12438,2982,217857,213306,6147,145626,275549,243321,235077,5762,2199,299402,289634
1850,3,4302,785,2323,27536,24783,15799,894,46409,37772,2581,1708,3346,16053,8852,99205,91029,3140,34790,23988,4885,6646,4550,170698,25988,14034,21699,707,10796,6187,2983,12408,2807,257484,252863,6241,187458,312270,282820,274967,5850,2232,332004,323885
1850,4,6518,1057,3854,48992,40519,26744,1145,135431,101873,8917,6439,10432,32388,23369,273838,242072,9301,71348,61816,18982,16929,11417,426777,53169,34566,33177,1378,20970,11992,5810,13194,3623,531214,526608,6221,449035,578283,555887,548643,5832,2226,590304,585320
1850,5,8565,1183,5586,55407,51197,35674,1175,92069,78024,9788,3770,6030,32967,16961,187509,174214,4760,66506,118356,7944,55526,38886,497067,93461,35745,192184,8045,122170,69777,33910,75517,20894,1055829,1029543,35505,583790,1217417,1189283,1155290,33282,12703,1225150,1221944
1850,6,7860,1059,5192,47587,44416,30459,1037,64350,54430,3838,2116,4429,25266,12771,140987,131597,3619,55944,37564,5611,14620,10145,243133,34786,17956,42436,1890,28723,16414,7966,14417,4349,359159,354314,6544,264643,396498,384450,377491,6134,2341,401507,399433
1850,7,7058,914,4757,41089,38664,26424,872,49385,42145,2685,1524,3380,20166,10001,112110,105256,2785,47477,25354,4095,9742,6751,180662,23804,12955,29094,1236,18793,10742,5211,11047,3117,265210,261394,5154,195401,295537,285346,279651,4832,1844,299483,297854
1850,8,5786,695,4038,32720,31248,21620,628,33244,29275,1561,851,2208,15194,7054,78388,74630,1714,36597,14626,2245,6058,4206,117027,13603,7791,18551,788,11983,6849,3323,7044,1987,169935,167502,3287,125422,221943,182912,179143,3081,1176,261324,245160
1850,9,4587,525,3265,25673,24642,17177,458,24293,21591,859,543,1614,11639,5298,58534,55977,1204,28387,7900,1528,2498,1718,81966,8968,5331,8030,286,4349,2485,1205,4134,986,111142,109627,2045,87203,130498,119496,116873,1917,731,146500,135100
1850,10,76987,25876,11726,299960,266481,43922,34798,18504,17064,516,299,1145,9533,4698,452444,451081,43654,387807,5226,814,1795,1242,636758,174500,171896,5809,223,3403,1945,944,2657,675,656236,655282,1288,640352,672843,661711,659847,1208,461,681681,677736
1850,11,6779,1012,4228,31724,30517,18253,1052,13819,12891,300,187,867,7642,3331,51840,50961,1527,34894,2412,525,895,616,63402,7623,6819,2404,104,1579,901,438,878,253,70130,69829,406,64508,79540,72078,71269,380,145,87037,82873
1850,12,6955,1048,4314,31846,30688,18070,1094,11388,10864,121,97,698,6750,2880,48662,48166,1485,34887,849,296,124,79,56280,6145,5835,815,0,0,0,0,990,166,61954,61557,535,57065,72344,64405,63455,502,191,80036,75926
1851,1,5883,821,3816,26970,26187,15918,820,8539,8539,0,0,492,5741,2306,38584,38584,1021,29022,12,0,0,0,42672,4075,4075,330,0,0,0,0,401,67,44862,44701,217,42880,53064,46004,45471,203,77,58963,56281
1851,2,4619,604,3097,21274,20720,12889,581,6858,6858,0,0,395,4609,1853,30309,30309,723,22727,0,0,0,0,33195,2886,2886,0,0,0,0,0,0,0,33195,33195,0,33195,40344,33446,33195,0,0,46335,43745
1851,3,4095,528,2765,18997,18518,11620,502,6397,6397,0,0,369,4305,1722,27279,27279,626,20255,0,0,0,0,29735,2456,2456,0,0,0,0,0,0,0,29735,29735,0,29735,36788,29972,29735,0,0,42683,40157
1851,4,2649,308,1873,12679,12419,8153,271,5023,5023,0,0,291,3395,1337,18721,18721,338,13359,0,0,0,0,20049,1328,1328,0,0,0,0,0,0,0,20049,20049,0,20049,24940,20069,20049,0,0,29277,27433
1851,5,2429,283,1714,11670,11430,7510,251,4716,4716,0,0,273,3189,1253,17327,17327,313,12298,0,0,0,0,18556,1228,1228,0,0,0,0,0,0,0,18556,18556,0,18556,23181,18556,18556,0,0,27371,25605
1851,6,2373,262,1712,11912,11162,7308,221,11483,9035,569,455,856,3472,2198,30436,28119,850,13888,2809,1384,582,373,36520,2623,2558,0,0,0,0,0,0,0,36520,36520,0,36520,63468,36520,36520,0,0,93239,81097
1851,7,2552,267,1880,12055,11851,7915,214,11029,11029,5644,1001,252,2950,1179,23888,23888,266,12591,50258,0,45152,31792,75194,1047,1047,119543,6961,105709,60375,29341,8524,8524,203262,203262,0,75194,207573,203262,203262,0,0,211696,209982
1851,8,2829,267,2157,13157,12973,8776,192,4286,4286,0,0,246,2870,1170,18164,18164,239,13637,0,0,0,0,19103,939,939,0,0,0,0,0,0,0,19103,19103,0,19103,22754,19103,19103,0,0,26271,24812
1851,9,2563,231,1980,11941,11791,8051,157,3918,3918,0,0,224,2623,1070,16450,16450,196,12335,4492,0,0,0,40617,9629,3502,1,0,1,1,0,0,0,46263,46263,0,46261,48623,46263,46263,0,0,51109,50084
1851,10,2353,210,1825,11075,10922,7498,140,4233,4146,165,42,240,2573,1071,16057,15974,195,11478,1393,49,1182,831,18215,741,738,3076,179,2720,1553,755,219,219,21511,21511,0,18215,22813,21511,21511,0,0,24115,23590
1851,11,2194,212,1659,10699,10251,6905,157,8402,7051,932,361,549,2810,1580,23117,21838,513,11877,7058,764,5270,3690,32153,1618,1582,13101,763,11584,6616,3215,934,934,46188,46188,0,32153,46969,46188,46188,0,0,47986,47411
1851,12,2392,291,1659,14475,11573,7094,266,41075,29037,3894,2433,3246,5828,6342,87086,75690,3156,22133,23701,6809,11640,8015,123349,9093,8609,23230,1352,20542,11732,5702,1656,1656,148388,148388,0,123501,158840,148388,148388,0,0,170552,165821
1852,1,4870,791,2876,26754,22741,12922,857,54561,40036,5794,3130,4133,9565,8614,121374,107624,4476,37336,41535,8216,22808,15841,193742,19533,14609,51248,2983,45297,25868,12574,3680,3657,252949,252939,14,197938,261151,253003,252990,13,5,271524,266425
1852,2,7618,1073,4915,40717,35730,21550,1079,70088,52094,6934,3835,5280,13715,11428,160495,143461,5566,53868,53747,10178,26299,18248,270719,32579,20441,59355,3394,51538,29432,14307,5459,4375,351003,350482,704,282134,380320,353825,352976,660,252,409301,396877
1852,3,7715,999,5199,40456,36505,22855,954,57962,44135,5356,2951,4294,13296,9861,137067,123978,4432,50873,48151,7821,20433,14180,255972,37883,19706,49107,2643,40131,22920,11139,7762,3997,345670,343858,2447,274716,393340,355218,352525,2293,875,430938,415032
1852,4,6148,741,4282,31866,29331,18883,672,41491,32880,5319,2190,2852,10352,6950,97721,89570,2858,38550,59740,4870,28593,20003,212946,28985,13988,313358,4092,62133,35483,17248,300484,54699,1912364,1794082,159764,379063,2602002,2508362,2359907,149758,57159,2627740,2616857
1852,5,5461,631,3872,28229,26175,17085,554,32425,25489,2403,1430,2367,9165,5921,80325,73760,2318,33645,23308,3923,7984,5518,145639,22154,10985,23050,976,14830,8470,4116,8828,2479,215329,212273,4126,159699,249455,231152,226889,3868,1476,263934,257869
1852,6,4479,461,3318,23043,21776,14718,365,22509,18330,1449,862,1599,7536,4352,57520,53565,1435,26383,13535,2363,4818,3330,94354,12534,6535,14388,589,8952,5112,2485,5905,1593,138878,136803,2802,102455,160465,149658,146729,2627,1002,168571,165186
1852,7,3586,348,2710,18834,17935,12424,258,17812,14846,878,585,1253,6728,3604,45141,42333,1018,21204,7989,1677,2216,1516,68514,8368,4491,7039,232,3536,2019,981,3980,906,96442,94963,1998,73921,111877,104162,102040,1873,714,117571,115200
1852,8,3237,297,2489,17031,16402,11557,207,14550,12587,703,408,982,6236,3067,37336,35478,718,18689,6415,1110,2442,1690,54319,5787,3136,6838,304,4735,2751,1283,2194,679,72353,71624,984,57653,83114,76335,75111,922,352,88538,86300
1852,9,2773,251,2141,14551,14137,10032,171,11054,9914,426,240,721,5380,2455,29140,28061,481,15643,3262,644,1564,1084,36258,2456,1758,4070,199,3034,1735,840,1021,374,44787,44475,420,37275,51776,46668,45964,394,150,55866,54180
1852,10,3851,650,2212,24942,18636,10085,717,110133,84573,29210,8883,6794,11233,12969,202601,178405,6891,41583,242856,14458,192213,134957,499170,33064,23933,496521,28697,435658,248779,120953,39799,35922,1060183,1058318,2519,509362,1074991,1069866,1067241,2361,901,1078203,1076897
1852,11,15560,3561,6584,72204,61771,25218,4380,98410,69959,10795,6033,7628,13274,14994,259188,232257,12129,99682,90378,16093,40232,27901,480091,77856,49585,96564,5158,78338,44742,21743,16009,7947,653180,649300,5240,510443,684693,673194,667861,4912,1875,694799,689738
1852,12,30120,5961,15101,138737,121045,55945,6996,173205,123087,18651,10563,13440,23410,26665,465277,417836,20471,185343,154116,28349,67948,47092,835133,128501,82079,178836,8636,131157,74912,36402,47666,16813,1237742,1222894,20055,895820,1473490,1329299,1293922,18799,7175,1590577,1542849
1853,1,41207,7377,22624,193716,171150,86714,8335,240766,174292,25663,14175,18407,37823,37957,634323,571398,25976,253170,210840,37602,97526,67673,1114557,160286,102742,285998,12597,191319,109286,53093,100077,29660,1859140,1825252,45772,1209641,2436212,2042305,1987360,42905,16376,2775215,2635829
1853,2,35420,5574,21383,172065,156502,88946,5945,189467,144476,18088,9722,13960,43113,32340,497928,455339,17960,213065,141567,25450,71751,49847,794505,96887,67531,196133,9411,142962,81673,39667,53418,18569,1221995,1205224,22652,842074,1427851,1313395,1285452,21234,8104,1511429,1476523
