Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,5190,743,3318,24578,23600,14376,754,12418,11241,440,248,800,6197,2840,42809,41695,1215,27148,3621,666,1616,1120,54533,6117,5067,4423,206,3133,1791,868,1323,432,65106,64677,579,56025,70220,67543,66729,542,207,71709,71058
2015,2,4640,593,3147,22121,21352,13520,561,11292,10228,365,218,728,5669,2601,38213,37206,948,24142,2861,601,1197,827,47362,4715,3899,2804,145,2216,1268,613,541,239,52750,52605,196,48275,55728,53714,53300,183,70,56952,56347
2015,3,4287,473,3097,20782,20171,13368,399,11129,10082,243,194,726,5686,2598,36063,35072,742,22389,1285,592,249,159,40800,2984,2841,5,0,5,5,0,0,0,40911,40911,0,40906,43797,41135,40911,0,0,45631,44834
2015,4,7059,1738,2676,30959,28340,11518,2183,14108,11660,569,455,1008,5247,2896,59454,57136,3292,37840,2894,1384,582,373,76864,13682,13506,89,0,4,4,0,103,17,77536,77495,56,77020,80768,77935,77693,52,20,82879,81963
2015,5,3434,419,2378,16513,15945,10254,384,8879,7963,234,174,584,4377,2037,29156,28289,693,18006,1881,518,392,262,42933,10304,9458,1324,26,412,237,113,1077,208,49882,49464,564,44230,54932,52150,51464,529,202,56835,56014
2015,6,3399,563,1980,15902,15093,8596,615,8311,7298,284,197,557,3805,1840,29088,28129,1003,18030,2221,573,634,431,38024,5114,4276,1707,60,926,530,255,877,209,44272,43951,434,39187,47471,45892,45489,407,155,48676,48150
2015,7,3217,552,1825,14981,14185,7921,613,7680,6720,223,178,519,3511,1706,27394,26486,989,17073,1149,542,228,146,32879,3971,3880,3,0,3,3,0,0,0,32943,32943,0,32939,34271,32943,32943,0,0,35690,34942
2015,8,2531,368,1604,11999,11534,7006,377,5784,5304,111,89,372,3071,1369,20414,19959,582,13221,550,271,114,73,23426,2333,2321,0,0,0,0,0,0,0,23426,23426,0,23426,51933,23426,23426,0,0,83171,70165
2015,9,1994,260,1338,9514,9275,5895,250,3763,3763,0,0,218,2546,998,14215,14215,311,10140,0,0,0,0,15545,1329,1329,0,0,0,0,0,0,0,15545,15545,0,15545,17796,15545,15545,0,0,19862,19021
2015,10,2231,380,1272,10287,9886,5587,421,3536,3536,0,0,205,2392,938,15402,15402,524,11341,0,0,0,0,17498,2095,2095,0,0,0,0,0,0,0,17498,17498,0,17498,19399,17498,17498,0,0,21119,20421
2015,11,1823,256,1177,8717,8471,5277,257,3529,3529,0,0,205,2392,932,13211,13211,320,9361,0,0,0,0,14470,1258,1258,0,0,0,0,0,0,0,14470,14470,0,14470,132730,14470,14470,0,0,266520,212169
2015,12,1861,277,1161,9040,8765,5412,288,3988,3988,0,0,232,2711,1044,14109,14109,359,9761,0,0,0,0,15518,1408,1408,0,0,0,0,0,0,0,15518,15518,0,15518,23816,15518,15518,0,0,32633,28998
2016,1,1824,285,1106,9163,8874,5512,303,4674,4674,0,0,273,3189,1211,14973,14973,377,9922,10,0,0,0,16465,1481,1481,264,0,0,0,0,321,54,18216,18088,173,16630,37456,19033,18703,162,62,55697,48295
2016,2,1804,284,1086,9309,9019,5677,304,5236,5236,0,0,306,3580,1348,15686,15686,378,10071,86,0,0,0,17260,1486,1486,2226,0,0,0,0,2705,455,32008,30924,1462,18656,91635,38101,36106,1371,523,141601,121182
2016,3,1770,263,1106,9430,9169,5981,273,5823,5823,0,0,341,3986,1494,16278,16278,340,10114,152,0,0,0,17767,1336,1336,3903,0,3,3,0,4740,797,43607,41709,2563,20213,136264,54590,50787,2402,916,204389,176767
2016,4,1560,215,1017,8439,8234,5521,214,5409,5409,0,0,317,3703,1388,14652,14652,267,8975,1132,0,0,0,16833,1048,1048,29022,0,3,3,0,35272,5931,209095,194975,19071,35039,352338,284006,262521,17877,6823,384743,371471
2016,5,1404,184,940,7707,7538,5154,177,5122,5122,0,0,300,3508,1313,13494,13494,220,8151,944,0,0,0,16829,1554,1044,14634,0,4,4,0,17782,2990,114228,107110,9614,26477,192188,153170,141162,9012,3439,212602,204291
2016,6,1245,154,856,6874,6737,4676,143,4619,4619,0,0,271,3163,1184,12030,12030,178,7232,510,0,0,0,14000,1042,787,8297,0,3,3,0,10081,1695,69189,65153,5451,19438,111484,91507,84459,5109,1950,121956,117680
2016,7,656,85,442,4423,4346,3237,81,4398,4398,0,0,259,3030,1108,9127,9127,101,4627,200,0,0,0,9724,397,397,5133,0,0,0,0,6239,1049,43736,41238,3373,12945,70163,57666,53187,3162,1207,76766,74065
2016,8,0,0,0,1596,1596,1596,0,3908,3908,0,0,232,2711,964,5504,5504,0,1596,133,0,0,0,5637,0,0,3415,0,0,0,0,4150,698,28262,26601,2244,7779,46207,37584,34550,2103,803,50872,48981
2016,9,72451,28721,0,274731,236354,1408,39694,15102,12612,4213,1108,827,3020,1934,444819,442461,49997,375433,40222,1408,29666,20851,703047,206490,199803,80759,4482,68055,38864,18893,10102,6264,816744,814897,2494,711527,867847,833536,823731,2338,892,890426,881198
2016,10,1106,438,0,5527,4949,1361,606,3333,3333,0,0,198,2312,822,11131,11131,754,7043,902,0,0,0,17891,4293,3339,5205,0,5,5,0,6320,1062,53225,50695,3417,22032,85010,68483,62798,3203,1222,95130,90864
2016,11,966,383,0,3956,3451,317,529,778,778,0,0,46,540,192,6718,6718,659,5280,620,0,0,0,11894,3485,2833,3650,0,4,4,0,4431,745,36656,34882,2396,14783,59733,47293,43369,2246,857,67535,64247
2016,12,836,331,0,3149,2712,0,458,0,0,0,0,0,0,0,4867,4867,570,4296,511,0,0,0,9278,3010,2467,2913,0,5,5,0,3534,594,29051,27636,1911,11603,51227,37605,34406,1791,683,59716,56197
2017,1,553,219,0,2082,1793,0,303,0,0,0,0,0,0,0,3218,3218,377,2841,689,0,0,0,7962,2679,1841,1921,0,4,4,0,2329,391,21439,20507,1259,9938,38826,27273,24968,1180,450,45849,42926
2017,2,414,164,0,1560,1343,0,227,0,0,0,0,0,0,0,2410,2410,282,2128,490,0,0,0,5993,2070,1446,837,0,2,2,0,1015,170,12108,11701,549,7092,24642,14957,13646,514,196,31269,28511
2017,3,431,171,0,1625,1400,0,236,0,0,0,0,0,0,0,2512,2512,294,2217,243,0,0,0,4936,1695,1399,683,0,0,0,0,830,139,9734,9402,448,5637,25986,12132,10991,420,160,36510,32099
2017,4,457,181,0,1720,1481,0,250,0,0,0,0,0,0,0,2658,2658,311,2347,2424,0,0,0,16222,5790,2528,831,0,0,0,0,1010,169,24737,24332,546,19750,40073,27371,26268,512,195,50394,45384
2017,5,779275,41932,674296,3206110,3198611,2226539,2492,176276,152984,33289,9279,7478,25253,63575,3450806,3428757,8569,3225871,295732,13175,228515,160552,3861508,63894,35896,609148,34377,521883,298013,144894,65125,45967,4644564,4635345,12453,3898621,4732933,4691334,4679449,11673,4455,4767887,4753238
2017,6,3306,589,1820,15085,14451,7932,665,4908,4908,0,0,284,3318,1306,22487,22487,828,16750,3226,0,0,0,42228,9339,4962,447,0,0,0,0,544,91,49226,49008,294,46541,58022,50553,50051,275,105,63742,61267
2017,7,3757,613,2212,17325,16691,9615,665,5899,5899,0,0,341,3986,1571,25718,25718,828,18990,1254,0,0,0,35396,5620,3909,0,0,0,0,0,0,0,36972,36972,0,36972,42233,37019,36972,0,0,46380,44611
2017,8,3360,499,2101,15930,15436,9393,517,6237,6237,0,0,362,4226,1648,24106,24106,644,17224,687,0,0,0,30149,3819,2881,0,0,0,0,0,0,0,31013,31013,0,31013,34808,31013,31013,0,0,37847,36561
2017,9,2779,360,1873,13443,13115,8426,343,5691,5691,0,0,330,3858,1502,20421,20421,427,14302,58,0,0,0,22395,1785,1705,0,0,0,0,0,0,0,22468,22468,0,22468,30331,22468,22468,0,0,36505,33975
2017,10,424254,32126,343620,1769420,1725362,1136619,16138,428846,298472,30300,24247,33697,46132,85125,2589426,2466013,50686,1885502,149600,73748,31033,19895,2934484,160821,157363,0,0,0,0,0,0,0,2934484,2934484,0,2934484,2942638,2934484,2934484,0,0,2951643,2947592
2017,11,99900,7236,81742,443490,440069,304691,3278,98187,96836,313,251,5603,61764,28084,557381,556102,4397,452472,1549,764,321,206,576151,16861,16825,0,0,0,0,0,0,0,576151,576151,0,576151,577432,576151,576151,0,0,578164,577845
2017,12,60007,4755,48069,275301,272479,188752,2618,83228,81745,344,275,4862,52761,22602,372096,370693,3607,282709,1701,838,353,226,387913,13720,13681,0,0,0,0,0,0,0,387913,387913,0,387913,391245,387913,387913,0,0,394959,393212
2018,1,40095,3235,31972,184155,182122,125827,1841,56873,55608,293,235,3344,35642,15325,251134,249937,2589,189495,1451,715,301,193,262712,9790,9757,0,0,0,0,0,0,0,262712,262712,0,262712,342450,262814,262712,0,0,432995,395651
2018,2,28719,2403,22682,131809,130187,89355,1456,41052,39989,247,197,2426,25475,10996,181014,180007,2062,136068,1220,601,253,162,190300,7782,7753,0,0,0,0,0,0,0,190300,190300,0,190300,287291,190826,190300,0,0,395392,350612
2018,3,323196,28203,252349,1327272,1309655,843921,18223,57332,56198,263,210,2457,25642,26936,1455733,1454660,22951,1373498,1301,641,269,173,1548175,90838,90808,0,0,0,0,0,0,0,1548175,1548175,0,1548175,1578646,1548872,1548175,0,0,1608518,1596237
2018,4,72087,6808,54976,304966,300075,193141,4888,44724,43669,6277,1266,2089,21563,11831,370676,369677,6332,317802,54918,596,48501,34135,452362,26487,26459,127718,7439,112934,64489,31354,9109,9109,589190,589190,0,452362,608714,589793,589190,0,0,626356,619100
2018,5,63781,5243,50613,269992,266813,176739,3084,32355,31265,253,202,1796,18056,10294,316664,315632,4095,278337,1251,616,259,166,334030,15824,15795,0,0,0,0,0,0,0,334030,334030,0,334030,349913,334470,334030,0,0,363806,358099
2018,6,38185,3161,30245,163377,161379,107308,1882,24304,23375,215,172,1389,13738,7296,197087,196208,2561,168623,1065,525,221,141,208242,9843,9818,0,0,0,0,0,0,0,208242,208242,0,208242,218072,208551,208242,0,0,229003,222896
2018,7,26798,2234,21185,115740,114342,76310,1346,19449,18926,121,97,1108,11534,5747,141559,141063,1798,119410,600,296,124,79,149259,6960,6947,0,0,0,0,0,0,0,149259,149259,0,149259,156184,149517,149259,0,0,161774,159446
2018,8,19041,1591,15045,82860,81944,54919,961,14487,14487,0,0,799,9329,4357,100949,100949,1196,85265,0,0,0,0,105663,4714,4714,0,0,0,0,0,0,0,105663,105663,0,105663,110412,105771,105663,0,0,114334,112698
2018,9,13840,1162,10920,60634,59959,40280,708,11543,11543,0,0,641,7485,3417,74832,74832,882,62406,0,0,0,0,78293,3461,3461,0,0,0,0,0,0,0,78293,78293,0,78293,81554,78293,78293,0,0,84362,83191
2018,10,36289,10728,9237,167182,153757,57432,14067,67218,67131,20,16,3966,46030,17044,287307,287224,17531,202406,100,49,20,13,356878,69448,69445,0,0,0,0,0,0,0,356878,356878,0,356878,396329,359047,356878,0,0,432187,417731
2018,11,16416,2417,10331,78688,76017,46568,2490,35653,34302,327,253,2176,21792,8932,127096,125818,3417,85701,1675,764,433,285,142278,13147,13111,297,17,263,150,73,21,21,142596,142596,0,142278,144663,142596,142596,0,0,146226,145592
2018,12,20968,2858,13773,110496,107206,70877,2817,72095,69347,849,548,4419,44230,17635,200116,197515,4152,119138,5028,1554,2339,1605,221555,15680,15607,4460,259,3944,2252,1095,318,318,226334,226334,0,221555,229150,226334,226334,0,0,234498,230278
2019,1,18684,2391,12667,98513,95723,64239,2263,65066,62188,894,575,4014,39159,15800,179359,176634,3492,105844,5308,1628,2486,1707,198498,13065,12989,4770,277,4218,2409,1170,340,340,203609,203609,0,198498,209142,203609,203609,0,0,214499,211734
2019,2,14749,1831,10142,75800,73698,49175,1696,46270,44064,689,441,2860,27492,11242,134022,131934,2629,81324,4109,1247,1942,1334,148581,9863,9805,3754,218,3320,1897,920,267,267,152603,152603,0,148581,161429,152603,152603,0,0,168997,165656
2019,3,15646,1931,10786,79923,77601,51629,1782,49052,46216,876,565,3066,28224,11765,142843,140159,2884,86027,5193,1603,2418,1660,159468,10677,10602,4615,268,4081,2330,1132,329,329,164412,164412,0,159468,180048,164412,164412,0,0,192444,186908
2019,4,12661,1479,8939,64243,62484,41951,1309,38535,36214,736,466,2412,21960,9231,113573,111375,2175,68866,4416,1313,2127,1463,126613,8006,7945,4167,242,3685,2104,1023,297,297,131079,131079,0,126613,145073,131079,131079,0,0,155241,150915
2019,5,10361,1150,7467,52055,50741,34295,976,29718,27973,514,343,1857,17025,7175,89856,88204,1624,55510,2972,986,1286,880,99220,5928,5882,2307,134,2040,1165,566,164,164,101692,101692,0,99220,110950,101692,101692,0,0,118101,114852
2019,6,7967,826,5888,39868,38962,26657,658,22065,20798,294,235,1381,12743,5377,67611,66413,1116,42250,1453,716,301,193,73434,4033,3999,0,0,0,0,0,0,0,73434,73434,0,73434,79453,73434,73434,0,0,83902,82035
2019,7,6997,627,5420,35147,34515,24286,421,19336,18289,243,194,1204,11267,4744,58718,57727,770,36810,1201,592,249,159,62915,2717,2689,0,0,0,0,0,0,0,62915,62915,0,62915,67325,62915,62915,0,0,70604,69230
2019,8,7118,522,5808,36360,35897,26168,244,20857,19810,243,194,1293,12304,5139,60786,59795,549,37578,1201,592,249,159,64116,1850,1822,0,0,0,0,0,0,0,64116,64116,0,64116,66920,64116,64116,0,0,68819,68017
2019,9,6182,437,5085,31508,31145,22793,186,17971,17127,379,189,1097,10553,4397,52318,51519,429,32463,57487,477,1663,1158,334609,102139,27430,7132,225,3422,1954,950,4241,942,429176,427589,2144,405463,446400,439200,435182,2009,767,449678,447964
2019,10,5281,385,4314,27015,26837,19666,177,14012,13968,126,28,810,9340,3636,41803,41762,231,27484,1181,24,940,661,44769,1557,1424,2468,143,2184,1250,604,175,175,47535,47535,0,44890,62641,47562,47535,0,0,80044,72107
2019,11,3977,305,3211,20957,20807,15321,157,12075,12075,147,26,694,8102,3104,33622,33622,196,21351,1961,0,1180,831,38872,1906,1062,3860,182,2773,1587,767,1104,371,47811,47458,476,40104,57689,49868,49145,446,170,70438,61776
2019,12,3856,302,3097,20897,20742,15386,162,13160,13160,159,28,758,8850,3362,34667,34667,202,21304,2174,0,1278,900,40561,2128,1157,4432,197,3004,1721,830,1500,453,51953,51449,680,42104,88700,55018,53860,637,243,110555,98167
2020,1,4064,340,3208,21957,21759,15984,207,13785,13785,196,34,793,9249,3512,36518,36518,257,22475,4300,0,1568,1104,51668,5564,2341,9060,241,3688,2113,1019,6241,1295,91508,89128,3214,57706,160501,104852,100513,3013,1150,202896,184785
2020,2,5025,517,3725,26079,25690,17992,408,14647,14647,258,45,837,9771,3733,42256,42256,508,27100,6972,0,2065,1454,69363,10424,4501,13953,318,4849,2775,1342,10686,2121,136816,132694,5567,80134,235686,159222,152411,5218,1991,295964,270453
2020,3,7256,817,5199,36426,35593,24028,702,19959,19218,506,197,1197,11988,4880,60898,60196,1048,38613,8211,419,2849,1995,89728,11606,6209,18421,412,6277,3594,1737,14269,2819,177313,171803,7442,101787,274695,207400,198163,6976,2662,321233,301677
2020,4,6395,691,4657,32094,31520,21522,572,16391,16264,416,92,938,10603,4137,50951,50831,742,33599,6681,71,3123,2197,71866,8146,4451,18099,476,7258,4152,2009,12609,2606,149603,144789,6502,81474,229558,175838,167817,6094,2326,257293,245475
2020,5,5468,525,4148,33128,28262,19167,384,75141,54684,5364,3912,5916,14570,12529,161603,142238,5279,45972,42338,11571,9750,6558,268969,36030,21114,87330,752,11694,6793,3172,91037,16075,787516,751441,48726,328724,1023926,970566,924011,45674,17433,1043024,1035085
2020,6,4345,387,3372,22263,21906,15576,257,13009,12503,342,134,781,7767,3171,37523,37043,439,23201,4656,286,1920,1344,51745,5230,2654,9718,277,4220,2413,1169,6352,1350,91990,89583,3251,57209,125505,105084,101097,3047,1163,136793,132114
2020,7,3823,332,2987,19465,19260,13755,214,10066,10066,174,30,574,6697,2589,30335,30335,266,20001,2466,0,1394,982,37137,2610,1557,7355,215,3270,1870,906,4708,1010,66300,64520,2403,40402,88662,76011,73033,2253,859,95743,92808
2020,8,2471,235,1880,13346,13184,9511,170,8419,8419,108,19,485,5661,2144,22403,22403,211,13772,2651,0,871,613,27268,1486,1042,37073,134,2060,1185,566,42397,7266,260367,243460,22835,49476,432853,362490,324335,21405,8169,468420,454011
2020,9,2031,190,1552,10733,10604,7598,135,6456,6456,196,34,363,4244,1617,17700,17700,169,11074,1929,0,1574,1108,20296,666,666,8760,242,3736,2155,1023,5817,1225,54901,52691,2984,23145,85298,68413,63262,2797,1067,95501,91346
2020,10,50834,18706,3650,196776,172425,16077,25553,10448,10448,167,29,594,6937,2720,302929,302929,31808,260671,1622,0,1336,941,432597,128045,128045,7032,206,3164,1822,868,4456,959,459340,457657,2273,434767,492152,469562,465709,2131,813,511425,503494
2020,11,2378,222,1820,11913,11763,8250,157,5687,5687,0,0,330,3858,1498,18190,18190,196,12306,92,0,0,0,19051,769,769,2391,0,24,24,0,2876,483,34756,33604,1555,20536,51386,41714,39113,1458,556,58324,55221
2020,12,2303,212,1770,11547,11406,8021,147,5524,5524,0,0,321,3747,1455,17626,17626,184,11917,37,0,0,0,18386,722,722,988,0,18,18,0,1178,198,24827,24356,637,18994,42283,28097,26612,597,227,55902,49798
2021,1,2149,195,1659,10784,10657,7516,133,5172,5172,0,0,300,3508,1362,16455,16455,165,11117,44,0,0,0,17158,658,658,1158,0,13,13,0,1392,234,24761,24204,752,17877,54086,28381,26871,705,269,79969,69239
2021,2,1896,178,1448,9509,9388,6582,126,4564,4564,0,0,265,3096,1201,14549,14549,157,9826,95,0,0,0,15317,672,672,2466,0,18,18,0,2975,500,31552,30361,1608,16852,103959,38375,36059,1507,575,171142,142759
2021,3,1931,174,1493,9714,9602,6784,118,4700,4700,0,0,273,3189,1237,14858,14858,147,10010,104,0,0,0,15597,633,633,2701,0,13,13,0,3267,549,33419,32111,1766,17284,74575,40851,38367,1655,632,102466,90840
2021,4,1476,76,1284,7723,7723,5901,0,4204,4204,0,0,244,2855,1104,11927,11927,0,7723,44,0,0,0,11984,12,12,1136,0,6,6,0,1373,230,19477,18928,742,12693,39410,22901,21558,696,265,52140,46845
2021,5,1398,72,1216,7272,7272,5546,0,3877,3877,0,0,225,2631,1020,11149,11149,0,7272,105619,0,0,0,546961,194107,50098,643,0,4,4,0,776,130,683870,683560,419,680033,696040,685863,685047,393,150,703734,700537
2021,6,1168,60,1017,6146,6146,4704,0,3407,3407,0,0,198,2314,893,9553,9553,0,6146,0,0,0,0,9553,0,0,0,0,0,0,0,0,0,9554,9554,0,9553,16205,9790,9554,0,0,21124,19082
2021,7,1080,55,940,5220,5220,3887,0,2018,2018,0,0,116,1355,547,7239,7239,0,5220,0,0,0,0,7239,0,0,0,0,0,0,0,0,0,7239,7239,0,7239,45601,7293,7239,0,0,87539,70144
2021,8,1016,52,885,4162,4162,2907,0,61,61,0,0,0,0,61,4223,4223,0,4162,0,0,0,0,4223,0,0,0,0,0,0,0,0,0,4223,4223,0,4223,10848,4223,4223,0,0,16711,14308
2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841,0,0,0,0,9064,7334
2021,10,381,19,331,1560,1560,1090,0,22,22,0,0,0,0,22,1583,1583,0,1560,0,0,0,0,1583,0,0,0,0,0,0,0,0,0,1583,1583,0,1583,7567,1583,1583,0,0,13337,10982
2021,11,1045,54,910,5506,5506,4216,0,3066,3066,0,0,178,2083,804,8572,8572,0,5506,0,0,0,0,8572,0,0,0,0,0,0,0,0,0,8572,8572,0,8572,13184,8572,8572,0,0,16874,15353
2021,12,1143,59,995,6044,6044,4632,0,3402,3402,0,0,198,2312,891,9446,9446,0,6044,0,0,0,0,9446,0,0,0,0,0,0,0,0,0,9446,9446,0,9446,14373,9446,9446,0,0,18792,16782
2022,1,1143,59,995,6044,6044,4632,0,3402,3402,0,0,198,2312,891,9446,9446,0,6044,0,0,0,0,9446,0,0,0,0,0,0,0,0,0,9446,9446,0,9446,29467,9669,9446,0,0,45508,38720
2022,2,1033,53,899,5501,5501,4226,0,3176,3176,0,0,185,2160,830,8678,8678,0,5501,414,0,0,0,9093,0,0,10626,0,0,0,0,12916,2172,79498,74327,6984,15760,144206,106093,99062,6546,2498,172584,160769
2022,3,1207,62,1050,6398,6398,4907,0,3635,3635,0,0,211,2471,952,10034,10034,0,6398,434,0,0,0,12487,1075,499,330,0,0,0,0,401,67,15207,15046,217,13225,69609,16681,15815,203,77,109951,92749
2022,4,1291,66,1124,6650,6650,5055,0,3414,3414,0,0,198,2314,901,10064,10064,0,6650,596,0,0,0,12467,815,210,3923,0,0,0,0,4768,801,39017,37108,2578,15486,102119,49401,46240,2416,922,142813,125796
2022,5,1525,79,1327,7746,7746,5863,0,3769,3769,0,0,218,2551,999,11515,11515,0,7746,1044,0,0,0,15949,1529,394,5442,0,0,0,0,6614,1112,53050,50402,3576,20409,104572,67276,63069,3352,1279,131253,119968
2022,6,1476,76,1284,7450,7450,5628,0,3537,3537,0,0,205,2392,939,10987,10987,0,7450,773,0,0,0,14328,1158,298,3667,0,0,0,0,4457,749,39417,37632,2410,17420,70895,49102,46168,2259,862,85406,79363
2022,7,1398,72,1216,7084,7084,5359,0,3417,3417,0,0,198,2312,906,10502,10502,0,7084,104,0,0,0,10607,0,0,2687,0,0,0,0,3267,549,28415,27107,1766,12293,48124,35406,33364,1655,632,56636,53093
2022,8,1271,65,1106,5672,5672,4103,0,1225,1225,0,0,68,797,360,6898,6898,0,5672,39,0,0,0,6938,0,0,1013,0,0,0,0,1231,207,13652,13159,666,7573,27867,16420,15518,624,238,45263,33431
