Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,8430,1106,5646,26275,24001,9435,1064,20330,14603,2542,1280,1524,2514,3272,65120,59699,2669,32264,19853,3239,11055,7698,103958,12774,9762,35868,1494,22717,12986,6298,14205,3910,205177,198068,6691,112980,283550,247703,233103,8404,2430,302307,294576
2015,2,5751,725,3925,22154,18864,8724,680,42508,30497,5922,2789,3185,5062,6263,97677,86307,3665,30831,46630,6793,27902,19466,175211,18553,12647,88815,3861,58700,33555,16274,32005,9315,406645,391844,14748,194438,568350,494555,464498,17665,5342,606884,591048
2015,3,3165,439,2058,11518,9770,3979,438,21755,15708,3860,1560,1560,2084,2979,50255,44531,1965,16127,30686,3420,21080,14752,94951,8913,6623,60362,3028,46035,26315,12763,13807,5406,207971,203780,5460,102126,251464,231880,223903,5266,1956,261842,257488
2015,4,3509,444,2392,20756,19193,13091,417,26751,21452,6625,1942,1604,4436,3633,62510,57494,1762,24877,58341,2997,44408,31189,140452,11293,6944,143767,6652,101133,57812,28038,43897,14158,457573,445725,19331,162783,573519,522151,501230,15683,6874,600388,589318
2015,5,44154,3699,34864,137627,133888,70832,2244,40655,33384,9867,2803,2261,6632,7415,205135,198252,4500,147464,85915,4113,67137,47163,320817,21156,16890,218996,10084,153306,87636,42503,67834,21678,803758,786883,30001,353209,964469,893836,865067,22843,10643,1001039,986194
2015,6,49590,4211,39012,136260,132461,61412,2611,28843,22886,5331,1808,1731,4114,6293,189996,184357,4648,146250,47372,3369,32991,23140,272986,24459,18461,112112,4867,74004,42304,20517,40521,11772,551795,540699,18687,296206,659343,611830,592478,14807,6639,683995,673957
2015,7,4773,422,3712,13721,13043,6045,278,7327,5451,1151,475,510,932,1245,26848,25073,786,15506,9056,1060,6173,4318,40831,3397,2719,16939,882,13423,7673,3721,3222,1441,68671,68213,1157,42515,72408,70846,70211,689,407,73228,72888
2015,8,1014,95,774,3312,3010,1461,67,3713,2636,250,200,296,599,635,10014,8994,337,4108,1497,609,256,164,13882,1499,1114,0,0,0,0,0,0,0,14210,14210,0,14210,14210,14210,14210,0,0,14231,14210
2015,9,144,16,103,412,381,146,14,253,171,19,15,20,24,42,928,850,36,496,109,46,19,12,1241,148,126,0,0,0,0,0,0,0,1260,1260,0,1260,1260,1260,1260,0,0,1264,1260
2015,10,83,12,50,250,226,70,13,156,104,11,9,12,14,25,587,539,29,314,274,28,12,7,1807,480,204,368,0,0,0,0,447,75,6312,5053,242,2292,21884,14569,11590,1295,104,26001,24133
2015,11,2707,230,2129,20887,20417,16482,142,9796,8280,1047,405,640,3377,1891,35065,33630,533,22125,9731,857,5920,4146,53056,4485,2389,22316,857,13031,7449,3613,10263,2599,131562,121547,4982,59706,249940,194891,172470,10928,1889,279366,266872
