Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,64,7,47,376,329,219,5,874,686,78,41,64,232,154,1725,1562,50,501,849,98,470,275,3324,401,212,1808,93,1158,546,229,677,209,8070,7815,304,3783,14890,9657,9048,314,109,19674,17333
2015,2,505,58,358,1898,1773,946,51,1607,1237,189,83,111,366,277,5079,4503,205,2227,2088,339,1195,754,8720,1012,765,3795,203,2733,1411,635,1048,383,16799,16406,432,9345,29912,19222,18321,477,155,39758,35286
2015,3,519,62,363,1856,1719,856,55,1927,1531,219,93,131,517,342,5566,5020,438,2215,12310,322,6994,2906,32608,7888,3791,32528,2104,21699,7997,2651,10655,3935,108674,105551,4368,40538,165816,127487,120435,3984,1560,194654,182059
2015,4,390,54,253,1312,1179,481,54,1570,1132,185,86,109,278,248,5424,4377,310,1663,2870,612,1252,751,11481,1910,1282,3979,211,2750,1372,607,1242,424,20848,20439,531,12540,42466,23734,22404,513,190,57715,50976
2015,5,27313,1828,22728,83388,82168,45924,657,34605,32031,936,556,2084,18225,8594,124415,123135,839,86599,7485,789,5053,2847,135655,2780,2369,17614,1089,12815,5719,2324,4534,1872,171137,169035,1730,137653,205070,184240,179480,2433,632,219260,213147
2015,6,1892,264,1227,5459,5123,1802,264,1916,1265,182,88,115,312,333,14550,11496,828,6344,9263,1773,2534,1203,40050,8299,3894,14205,550,6040,2457,925,9269,2119,99511,95579,4647,48465,141167,123606,114619,4841,1671,150591,146588
2015,7,230,23,171,1277,1201,837,18,1039,761,130,61,74,172,161,3302,2928,110,1477,1255,221,754,480,5168,412,344,2249,125,1747,931,400,461,205,8972,8895,166,5380,12801,10243,9244,110,58,13889,13374
2015,8,175,16,134,587,573,315,11,127,110,6,3,7,50,31,799,778,9,625,47,11,20,16,884,26,21,133,1,33,25,12,119,21,1557,1517,63,949,2560,1785,1704,52,22,3186,2890
2015,9,660,86,442,3468,2333,991,83,15368,10120,1269,918,1227,1561,2239,40531,31377,2216,6461,17724,5381,3237,1930,88769,16239,8843,13301,250,3502,1871,870,11612,2208,168603,159707,6113,101182,344669,226280,204345,10053,2260,413274,384696
2015,10,3321,397,2322,10613,10069,4616,357,5928,4994,432,210,401,2120,1269,20176,19191,416,12043,6777,586,2415,1531,39437,6055,2275,15641,414,5523,2826,1280,11805,2407,111322,106805,6109,48725,154636,136115,128413,5721,2185,165303,160667
2015,11,89,13,55,305,267,99,14,454,319,54,26,32,68,68,1565,1229,101,406,967,196,389,226,3715,679,419,1720,68,917,468,181,893,220,9452,9155,437,4364,20079,11404,10564,383,156,26776,23908
2015,12,310,37,214,1241,1078,541,34,2409,1822,241,128,179,510,405,5265,4719,193,1669,1855,326,944,667,9027,1131,737,2653,118,1862,1090,533,820,258,15466,15097,365,9724,41834,18118,16909,439,132,61659,53000
2016,1,122,12,91,511,473,279,10,618,485,51,28,44,169,112,1551,1403,51,612,556,88,220,147,2867,415,227,1420,30,449,248,117,1143,223,9532,9138,597,3608,43978,12453,10999,512,213,71002,59447
2016,2,322,43,211,1420,1217,627,43,4270,3455,1308,338,223,638,501,9383,7871,436,1955,17630,888,7783,5984,58455,14789,4848,30960,866,16014,10373,5368,17133,3763,174561,167781,8690,75871,257707,213972,200378,8488,3115,283409,272561
2016,3,2424,522,1108,17799,10689,4033,630,95909,67520,7860,5677,7913,13032,15112,168514,152681,6834,36564,48305,9694,22134,12616,273722,36464,26265,68806,4215,48100,20650,8150,20146,7681,439573,425491,8102,290444,638151,523727,496701,15590,3035,716235,683262
2016,4,816,89,591,3749,3395,2053,75,5283,3866,441,263,386,1122,874,15297,12722,696,4682,6091,1512,2075,1230,29149,4370,2670,8346,319,4102,2023,887,4778,1128,63009,59274,2372,32913,155381,86509,78083,4181,882,194411,177899
2016,5,21087,4286,10287,74811,64666,18935,5077,99315,75121,7031,4739,7644,23173,17921,259265,235708,15624,101519,59052,14063,20334,12860,440446,85178,66011,55044,2786,37047,18899,8450,18555,5959,588041,580783,8188,465312,701182,631181,616075,8858,2949,732874,719582
2016,6,16511,2187,11005,47010,44871,16706,2118,9608,9068,217,118,589,4936,2874,64811,64388,1803,52626,3206,254,972,634,81688,9771,7454,2971,156,2136,1120,513,827,298,91404,90264,344,84140,153689,104073,96141,1198,138,169132,162610
2016,7,113,12,82,618,565,377,10,773,572,73,41,57,154,127,2070,1819,83,758,908,148,382,229,4278,712,389,1129,67,856,415,181,251,111,6644,6527,91,4655,17399,7369,7111,134,33,21533,19708
2016,8,2512,320,1704,8610,7666,3318,303,10436,7613,886,588,832,1719,1781,24608,23362,753,11099,8477,774,5807,2820,37433,3268,2788,19488,1497,16047,6292,2285,2398,1929,62359,61785,304,38134,85642,67061,64697,630,114,97630,92611
2016,9,704,70,527,6230,6008,4905,54,3780,3035,334,171,253,1185,621,11591,11148,180,6815,2176,270,1371,971,15041,811,593,5479,187,2890,1669,802,2923,682,35631,33225,1456,16620,75867,52066,45367,2678,543,90095,84038
2016,10,1246,118,949,13833,13597,11713,85,7336,6604,1723,408,324,2735,984,23779,22860,322,14457,11075,544,9360,7708,37036,1431,1106,20380,817,18310,12987,6983,1542,1091,61124,60951,292,37591,65393,62069,61756,230,103,66444,65991
2016,11,9009,1158,6095,32499,28285,12480,1099,61770,47966,4779,2931,4712,15508,11315,123083,115443,3605,43609,30817,4680,17934,11348,179509,16732,12412,49971,3072,39703,19692,8774,8821,4613,259370,257982,2735,185903,270143,266016,264320,1934,967,272219,271324
2016,12,52,5,37,271,255,168,5,324,269,24,12,22,116,62,797,723,23,315,208,43,103,73,1189,114,83,325,12,197,118,58,141,36,2212,2120,68,1282,9441,2791,2577,104,25,15468,12901
2017,1,576,72,395,2754,2523,1530,67,3399,2642,274,158,251,881,614,8278,7598,277,3364,1917,406,935,654,12135,1295,1000,3063,114,1770,1025,499,1434,357,22034,21247,699,13058,41992,27599,25138,921,254,49533,46301
2017,2,168,22,112,1047,927,619,21,1935,1482,211,102,141,430,323,4281,3825,154,1364,1779,271,1022,692,7458,847,577,3004,150,2192,1210,574,806,289,14067,13637,336,8016,24915,16844,15782,494,123,30509,28092
2017,3,1873,382,910,11690,10295,6122,453,34398,29695,1269,858,2412,15062,7441,65929,58489,2751,15366,23215,4382,11180,5022,110442,13974,10573,48819,2858,29998,11381,3890,19471,6186,235785,231677,8635,121627,280612,256899,250239,5833,3051,297689,290490
