Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,2125,672,428,11175,9217,3087,894,21394,16371,3185,1292,1499,4122,3229,48662,43907,2292,16329,26935,2841,17335,12130,96787,13227,9051,48961,2488,37790,21585,10488,10614,4319,187542,184513,4091,104417,231665,204945,199004,3835,1463,245569,239690
2015,2,1358,389,374,6355,5184,1503,508,10372,7249,1091,645,819,1251,1548,26555,23598,1365,9440,8390,1766,3667,2535,46613,7498,5378,9212,450,6844,3908,1900,2340,852,66529,65814,966,49412,98311,70193,69238,906,345,125281,113948
2015,3,91,36,0,422,309,0,50,874,579,68,54,73,74,128,2234,1955,131,719,2535,167,70,45,14422,4825,1920,1855,0,0,0,0,2254,379,29380,28477,1219,18254,42119,34029,32795,1142,436,45459,44007
2015,4,38429,9765,13811,189613,156282,59089,12360,345622,247650,40585,21383,26467,48024,51847,830053,737312,38380,277428,316194,55419,165823,115290,1473605,205058,143735,431164,21971,333792,190715,92603,92186,37881,2287905,2261771,35299,1561403,2459973,2425924,2386787,33088,12629,2464641,2462569
2015,5,32062,6923,14614,160354,135091,61273,8366,280332,201735,30254,16745,21562,42363,43203,671398,596998,28861,226929,218851,44459,114591,79507,1087344,130869,101125,296392,14783,224583,128314,62307,69675,26774,1666002,1645357,27886,1139447,1834211,1777006,1744119,26139,9977,1856012,1846603
2015,6,17221,3795,7654,78545,67247,27645,4616,104595,73232,11605,6599,8197,12157,15676,279988,250300,13107,108306,95956,17740,41994,29098,514324,83006,53480,104124,5323,80858,46189,22438,21939,9111,722766,716593,8337,548718,780142,757667,746123,7815,2983,794140,787223
2015,7,19222,3296,10920,86441,76066,37509,3657,108559,77239,16672,7492,8060,10680,15361,288149,258501,11903,113779,127237,17717,82586,57681,489751,51277,41439,226281,11583,175990,100555,48823,47331,19758,891919,878650,17922,515159,997237,967458,942126,16800,6412,1002691,999966
2015,8,42687,6154,27193,203512,189849,112593,6269,176783,141832,20405,8680,12116,48327,31132,492436,459352,16007,239491,182941,19770,106564,74509,869948,114371,70189,305504,15147,230199,131559,63842,73490,27787,1488124,1466130,29707,938157,1647682,1612489,1571344,27847,10628,1649102,1648522
2015,9,904,82,695,4475,3826,2376,57,11548,8846,3412,996,687,835,1277,23090,20533,705,6187,27994,1528,22912,16092,53914,2059,1955,61088,3433,52133,29774,14471,6795,4640,131230,130193,1401,55281,153333,137050,135156,1313,501,160587,157198
2015,10,742,209,214,4826,3704,1611,271,15345,11419,2170,953,1112,2533,2270,31148,27432,1259,7787,18168,2220,11000,7686,64352,8564,5150,27482,1552,23567,13460,6541,2911,2070,101463,101058,546,67923,106215,104044,102994,512,195,109009,106274
2015,11,1360,475,160,8601,5230,618,644,38712,26176,4066,2536,3144,3317,5517,81528,69661,3744,17494,31010,7091,12206,8407,152443,23111,14566,33083,1421,21600,12340,5993,12263,3510,243529,239316,5689,165439,293428,267751,259466,5333,2035,309665,301733
2015,12,969,108,695,4203,3873,2286,93,3711,2614,606,266,274,276,525,11047,10008,373,5073,4784,620,3073,2147,18709,1828,1337,8928,433,6595,3772,1827,2319,831,36869,36153,966,20057,78226,42735,39578,906,345,108085,93996
2016,1,1107,205,588,5843,4717,2297,236,14097,10003,1837,918,1075,1650,2040,31211,27335,1254,8812,14182,2316,8060,5614,56184,6467,4385,22601,1092,16592,9477,4604,6002,2122,103530,101663,2522,60410,142234,114604,110596,2364,902,159375,151203
2016,2,2909,772,963,12218,10868,3574,987,7022,5165,818,414,523,1163,1121,27651,25893,1665,15767,8297,1050,3535,2461,53221,11117,7614,13096,476,7245,4139,2009,6544,1586,97670,95284,3223,59480,164975,111290,106698,3021,1153,203377,186542
2016,3,21813,5001,9207,95963,83987,33245,6155,93274,65499,9049,5626,7373,12101,14525,282747,256455,14180,127488,74485,15711,27362,18849,488380,82625,56791,83581,3199,48673,27838,13484,38619,9753,759601,745709,18763,529413,909352,839474,812163,17588,6713,939922,926095
2016,4,16005,2508,9689,72543,66498,36236,2669,65036,49123,9182,3932,4616,11500,10251,187946,172882,7058,88462,74407,9001,47652,33314,318440,36595,26863,129052,6762,102904,58863,28504,23727,10878,535835,529652,8351,334990,608716,570376,559231,7828,2988,629700,620267
2016,5,64858,14223,29013,285179,253965,107579,17270,238598,171525,22345,13673,18538,37758,38582,758604,695112,37240,367324,168072,37941,70008,48288,1194314,183445,141179,175612,8332,126602,72341,35119,49647,16836,1599979,1584189,21328,1251973,1810620,1685312,1659725,19992,7630,1909935,1868256
2016,6,53170,5838,38488,233186,220806,135616,4902,132749,97714,11439,7101,10086,24427,23437,473171,440006,14325,265795,78144,19818,34714,23917,641382,62391,50259,79285,4066,61736,35255,17139,16486,6914,789221,784615,6221,657643,853067,815350,806651,5832,2226,878353,867539
2016,7,31862,5954,16862,143351,126895,60436,6842,152099,106934,14617,9131,12014,19961,23851,435649,392895,19117,186695,93789,25548,43705,30096,624163,71636,63675,95496,5080,77147,44060,21414,16251,7908,778528,774513,5423,635571,823816,799890,793720,5083,1940,840953,833567
2016,8,3237,689,1498,16301,12872,5287,830,37756,25768,3861,2420,3047,3642,5536,87576,76229,3847,25340,24909,6781,11457,7887,133407,14788,12671,29407,1326,20161,11522,5591,9658,2975,203278,200062,4344,139211,254932,223634,215447,4072,1554,274869,266129
2016,9,54692,7204,36561,247939,231436,136417,6949,191961,147048,24464,10842,13592,39034,31910,579858,537343,19191,291405,184517,25405,122881,85850,870861,77412,65766,308267,17297,262741,150098,72905,34734,23459,1272671,1267246,7328,887490,1316113,1302304,1293202,6869,2622,1323481,1320229
2016,10,8393,2712,1552,48314,34249,8416,3621,164516,116269,22616,10997,12533,17806,23091,348782,303111,15831,85394,196513,27291,102699,71589,763696,120712,67663,284114,14063,213629,122046,59274,68923,25915,1352007,1331310,27956,838078,1491222,1463581,1430320,26205,10002,1495827,1493877
2016,11,731,290,0,2798,2378,0,400,508,339,46,32,42,42,73,5235,5075,538,3898,455,95,96,65,8637,2457,2182,170,8,131,75,36,36,14,9187,9177,14,8900,11420,9305,9226,13,5,12867,12113
2016,12,26,10,0,120,88,0,14,258,173,26,16,21,21,36,646,566,37,205,1569,47,76,52,8195,3034,1249,2802,8,141,84,36,3224,551,27523,26236,1737,11496,85241,35160,32390,1628,621,127091,109434
2017,1,0,0,0,22,3,0,0,249,165,19,15,21,21,36,486,406,19,71,179,47,20,12,1107,236,123,21,0,0,0,0,25,4,1351,1341,14,1223,4780,1403,1390,13,5,6710,5812
2017,2,39,15,0,946,452,227,21,7261,5108,781,450,570,929,1073,13749,11711,531,2250,5395,1217,2761,1912,22955,2325,1711,6295,346,5265,3006,1461,839,494,32108,31942,224,23682,45457,32957,32736,210,80,56854,52096
2017,3,4544,487,3318,22622,20820,13446,400,25887,19429,1761,1247,1983,5950,4574,66394,60281,2014,27376,10763,3653,3618,2450,88486,7760,6459,10841,320,4873,2784,1352,6871,1482,130747,128153,3503,92871,151102,144133,140561,3283,1253,155914,153905
2017,4,12937,3411,4336,64090,55655,22830,4358,84033,64574,8846,4386,6110,19494,13950,213811,195390,9992,86292,70876,11007,39217,27321,360560,51239,38851,126050,5332,80975,46250,22474,48436,13576,698020,681245,22659,393128,831265,789332,761495,21240,8106,839919,836237
2017,5,19856,6705,2944,86013,70383,11352,9025,108306,76352,15385,7355,8225,10917,15114,309179,278931,18734,127142,123121,18075,71265,49700,563541,91939,72296,215156,9814,149127,85211,41368,68567,21528,1069742,1047105,30576,610045,1258171,1195824,1155396,28661,10939,1284062,1273144
2017,6,11925,2756,4978,63280,47347,17535,3399,180080,122377,18493,11633,14583,16565,26149,402466,347844,17774,105298,120886,32640,54393,37434,630547,72088,58495,122326,6268,95198,54376,26421,25506,10674,854182,847044,9641,650864,946990,896872,881189,9037,3449,985430,969398
2017,7,10865,2039,5727,77966,51159,24040,2347,541904,430213,194110,50617,28656,37055,52120,911985,806258,29135,148712,1675633,63179,1371589,964087,2869518,159346,99729,3805071,207372,3167210,1816789,874029,528325,300068,8250638,8140792,148371,3063349,9423177,8935370,8666268,139079,53083,9635200,9548142
2017,8,69296,6380,53263,346959,335580,232305,4437,276930,244428,38664,11566,16467,105583,52458,722958,692191,13152,376934,319911,18385,256582,180177,1116304,52771,44573,667166,38366,584588,334740,161708,54676,48273,1872832,1869750,4161,1127036,1912225,1891013,1884490,3901,1489,1925458,1920087
2017,9,25209,5182,12151,120291,102719,46597,6162,194958,141772,29586,12948,14256,24763,28002,473245,422899,20153,166594,223667,30085,150438,105129,806398,78683,67104,412425,21242,323558,185224,89533,82716,35547,1516634,1493934,30660,845035,1778347,1655842,1602523,28740,10969,1849343,1819683
2017,10,64454,10438,38167,282048,253110,128428,11287,269881,187232,32004,17642,21085,26024,40414,803857,725621,33447,358278,232640,46751,122023,84679,1262221,152446,118951,294810,15780,239762,137000,66510,48115,24164,1738448,1726922,15568,1305923,1942052,1798472,1782060,14593,5570,2053647,2007344
2017,11,385,47,267,2216,1664,924,42,10133,7811,3197,903,586,662,1055,18399,16201,598,3672,35676,1313,21809,15321,91357,18062,6653,82786,3277,49855,28512,13813,36123,9413,337216,324362,17362,118384,487919,402726,385853,16274,6211,537259,515624
2017,12,2214,114,1927,9324,9296,6557,0,1089,962,50,27,64,417,325,10734,10614,29,9398,433,71,198,138,12591,1207,1092,971,26,450,281,109,602,127,16336,16108,308,12988,28677,17643,17200,288,110,32933,30979
2018,1,0,0,0,11,1,0,0,124,82,9,7,10,10,18,243,203,9,35,48,23,10,6,332,29,28,36,0,36,36,0,0,0,369,369,0,332,3011,441,369,0,0,3929,3542
2018,2,65,25,0,538,337,90,35,2480,1720,183,142,202,346,385,5080,4361,222,1069,1507,429,237,155,9805,1737,937,196,8,157,101,36,36,14,10850,10839,14,10536,16107,11000,10889,13,5,18613,17493
2018,3,615,180,160,2983,2256,527,236,6785,4505,550,427,569,575,1002,16435,14277,828,4897,3981,1289,711,466,28464,4806,3138,463,26,411,242,109,31,31,30440,30440,0,29945,36171,30932,30440,0,0,38182,37278
2018,4,25971,3767,16487,130213,115744,67337,3850,195753,146662,25843,11692,14179,34764,30447,464918,418447,16314,168357,217542,27769,127138,88784,872392,108769,65914,363312,17800,270731,154813,75025,91330,33489,1617583,1589748,37597,946564,1917791,1768194,1722903,35242,13451,2008708,1970220
2018,5,58228,13226,24892,274288,240154,104940,16232,345968,261123,50541,21250,24564,60762,52614,896275,815961,40119,364160,393832,47993,266735,186541,1539074,182203,152978,711618,38011,577806,330273,160210,117373,58455,2649886,2621532,38298,1600485,2991249,2817266,2757169,35899,13702,3118671,3066263
2018,6,5192,786,3211,27299,24899,15139,823,34785,27441,3049,1604,2502,9646,6188,83799,76846,2748,33624,21266,4154,12489,8683,118210,9810,8771,35222,1656,25150,14366,6979,10269,3413,194378,191079,4456,123241,215998,211303,206861,4177,1594,217119,216647
2018,7,18650,1925,13811,97254,88150,57954,1524,149086,114304,20253,8628,10519,30151,23683,340280,307355,10060,121269,148880,19674,105624,73850,529796,30273,28666,260984,15008,228258,130521,63258,21902,18970,826101,824690,1905,532246,846090,836300,831440,1786,681,850058,848200
2018,8,6295,672,4603,26506,25322,15396,551,10563,7566,1294,663,788,1219,1785,46736,43899,1389,29625,10598,1695,5493,3823,70378,8439,6036,16287,736,11368,6569,3106,5100,1608,109139,107459,2270,74686,141086,123017,115499,2127,812,149991,146278
