Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1850,1,66977,5644,52801,264102,258104,162203,3458,56898,44613,7061,3031,3759,11462,11856,365117,353487,7188,279885,56884,6949,36569,25565,470955,34458,27281,97182,5187,78861,45080,21864,16089,7989,623575,621045,5265,482293,646296,636491,632497,3582,1860,651449,649312
1850,2,34254,2979,26769,122432,117587,67659,1916,55565,41839,6477,3136,3971,9870,10070,219991,206999,5606,135196,49882,7764,29563,20610,310614,26855,20247,76969,4054,61635,35233,17088,13809,6451,436908,434756,4782,320932,455691,447661,444390,3109,1687,459962,458161
1850,3,53327,4458,42131,213847,207240,130699,2696,94332,75976,16364,5561,6011,20110,16812,364839,347464,7664,231251,136423,10382,101139,70938,558239,37347,27861,283335,14920,226819,129659,62884,50924,23760,1008433,1001824,17657,583385,1060789,1039170,1030365,10158,6208,1072112,1067439
1850,4,29123,2552,22711,118297,110530,67217,1659,152444,124326,32260,9795,9376,32302,23560,348283,321666,8665,138779,273230,15905,212462,149177,693004,43224,29793,612559,31725,482302,275703,133716,120539,52585,1716893,1694499,44171,746857,1922350,1833077,1796717,31208,15629,1968988,1949808
1850,5,6289,714,4492,22810,20450,10056,617,38849,30798,3674,1817,2800,10542,7087,84397,76776,2658,29032,28040,4554,16342,11386,133124,12911,9259,43964,2224,33812,19328,9374,9690,3895,214358,212085,3767,139888,236490,226698,222710,3020,1339,241614,239501
1850,6,2434,285,1716,9095,7803,3653,253,24088,19315,4208,1437,1583,5374,3819,46239,41721,1435,12500,34446,2699,25927,18184,90164,6063,4627,76309,3822,58108,33217,16110,17570,6847,228090,225271,6969,98023,251428,241632,237642,4217,2454,256523,254441
1850,7,1993,215,1451,11314,9428,5958,178,39629,31829,7565,2471,2556,8496,6014,71396,64013,2052,16290,62473,4411,47875,33593,149335,9229,6483,133204,7095,107863,61659,29904,22351,10985,352585,349632,7388,158727,376875,366703,362560,4435,2600,382485,380004
1850,8,639,68,467,2845,2456,1390,56,7518,5991,1439,476,485,1535,1129,14448,13002,428,3873,11702,863,9039,6342,28692,1644,1303,24864,1337,20336,11624,5638,3910,2020,64910,64644,1228,30141,66086,65747,65609,514,428,66363,66190
1850,9,3535,319,2733,14249,13771,8557,216,8412,7177,728,308,559,3066,1766,26605,25436,559,15508,6192,698,3825,2675,38128,3324,2268,11774,544,8277,4731,2294,3602,1160,65616,64131,1587,40585,81651,74355,71384,1794,573,85550,83895
1850,10,4050,365,3132,16751,15055,8847,247,27163,20523,4027,1675,1930,4636,4232,61683,55398,1865,21226,33539,3755,21449,15003,117213,12114,6989,57195,3063,46570,26621,12911,9266,4678,206901,205494,2982,124618,219439,214041,211843,2003,1053,222270,221099
1850,11,467,45,353,1390,1250,526,33,1935,1444,357,134,132,242,280,4698,4233,157,1759,3031,277,2059,1442,9500,1007,608,5738,299,4553,2602,1262,1083,487,19807,19205,387,10226,26761,23544,22234,674,144,28511,27750
1850,12,2937,263,2276,13009,12351,7978,176,12881,10658,1623,609,855,3852,2370,32189,30085,741,14741,13533,1257,9381,6572,52768,4168,2715,26188,1364,20748,11860,5752,4987,2228,98820,96561,1792,55765,124315,112586,107809,2601,657,130746,127922
1851,1,39670,3572,30695,159309,153449,94904,2412,70692,54507,7743,3716,5039,14911,13293,280095,264774,6802,174743,62205,9155,35703,24896,400585,36561,25503,94351,4910,74655,42675,20697,18091,8044,572790,564285,6531,416610,669191,624799,606717,9751,2398,692979,682846
1851,2,52450,4715,40603,207697,201332,124259,3177,67655,52484,7292,3490,4769,14274,13468,325734,311373,7515,224453,55322,8581,33743,23532,426601,32593,26749,89722,4645,70627,40373,19581,17675,7704,589224,580412,6481,437801,689614,643328,624476,10045,2386,714162,703850
1851,3,4522,486,3300,19036,16561,9078,400,36547,27034,4423,2162,2719,6179,5787,81216,72210,2730,25562,33977,5381,19959,13911,137763,13473,9215,57846,2728,41474,23708,11498,16650,5578,264031,258826,7196,148324,317284,293394,283664,6623,2572,329839,324632
