Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,5344,760,3429,25282,24300,14834,769,12535,11401,437,241,802,6346,2886,43575,42502,1223,27864,3648,641,1664,1155,55414,6190,5124,4599,215,3269,1868,906,1361,447,66313,65874,593,56935,115141,70911,67976,556,212,159323,141437
2015,2,7423,964,4996,34638,33465,20865,921,15513,14174,567,294,982,7900,3617,57002,55734,1461,37721,5517,757,2365,1645,75256,8800,6581,8012,315,4797,2742,1330,3530,915,100219,98960,1700,78891,112980,107285,104982,1593,608,116752,114729
2015,3,8863,1082,6140,44106,42797,28150,991,25222,23565,683,361,1576,13973,5967,77245,75676,1622,47547,7038,937,2777,1930,100730,10749,7498,9730,367,5585,3192,1548,4600,1147,133075,131413,2244,105827,152485,142572,139362,2103,803,158429,155884
2015,4,7645,868,5460,36789,35776,23524,751,18315,16964,531,289,1151,9832,4341,61345,60067,1252,39453,5307,764,2064,1433,78929,8082,5706,7222,268,4086,2336,1132,3490,860,103268,102002,1709,82716,118764,110532,108057,1602,611,123730,121626
2015,5,9041,1240,5918,43026,41587,25874,1227,20636,19414,1017,357,1241,11232,4826,71358,70202,1814,46805,13255,690,6159,4318,111335,15856,9393,31073,904,13742,7849,3814,19988,4283,236818,229260,10208,127004,345037,276719,265415,9569,3652,369017,359244
2015,6,8851,1007,6316,41995,40921,26747,873,18700,17602,536,254,1147,10462,4537,66749,65710,1344,44815,5593,620,2510,1751,84711,8345,6041,10095,346,5269,3010,1461,5452,1270,120595,118583,2718,89402,145060,131594,128211,2548,972,153937,149530
2015,7,7674,830,5586,36607,35740,23704,687,16587,15627,440,217,1019,9332,4037,58205,57296,1081,38884,3925,542,1971,1373,69665,5580,4519,7809,268,4080,2330,1132,4212,982,96729,95175,2099,72623,116216,105294,102611,1968,751,123264,120302
2015,8,8584,774,6637,48004,47436,34902,525,33577,33271,194,78,1983,22323,8506,84322,84033,725,49494,1776,172,1060,742,90122,3376,3023,4488,152,2312,1321,641,2462,569,105650,104739,1230,91615,118368,110827,109098,1153,440,123263,121218
2015,9,8143,642,6530,39394,39059,27723,350,15801,15801,0,0,913,10648,4239,56509,56509,436,40271,27,0,0,0,58306,1770,1770,708,0,4,4,0,855,143,62973,62630,462,58748,71061,65352,64268,433,165,74732,73215
2015,10,8415,817,6361,44834,44256,31647,606,26761,26761,0,0,1565,18259,6935,73867,73867,754,46350,0,0,0,0,78260,4393,4393,3,0,3,3,0,0,0,78264,78264,0,78260,341098,80168,78264,0,0,590195,489542
2015,11,8025,807,5995,41969,41376,29190,622,23662,23662,0,0,1382,16127,6151,67964,67964,775,43526,0,0,0,0,71282,3318,3318,0,0,0,0,0,0,0,71282,71282,0,71282,94384,71636,71282,0,0,117577,107970
2015,12,8189,968,5752,44173,43348,30070,865,27753,27753,0,0,1627,18977,7149,75167,75167,1077,46336,0,0,0,0,79782,4615,4615,0,0,0,0,0,0,0,79782,79782,0,79782,100479,80108,79782,0,0,120504,112369
2016,1,7630,944,5254,40661,39830,27214,872,24730,24730,0,0,1449,16904,6377,68661,68661,1086,42844,413,0,0,0,73899,4797,4780,10289,0,0,0,0,12506,2103,142083,137076,6762,80369,302851,167756,161026,6338,2419,435344,379192
2016,2,9140,1226,6054,47080,45777,30077,1196,27539,26804,170,136,1667,17490,6894,80965,80270,1662,50499,1936,415,174,112,94327,8960,7556,2019,0,0,0,0,2455,412,108985,108002,1327,96870,166144,114250,112703,1244,474,209348,191499
2016,3,13902,1678,9680,68475,66716,43911,1523,34687,33291,520,294,2112,20924,8594,112410,111089,2224,73096,7355,789,1901,1317,144866,16237,11020,9507,241,3672,2097,1019,6803,1390,189559,186953,3518,152997,252247,203236,199415,3298,1258,285673,271668
2016,4,12650,1411,9100,61310,59840,39753,1202,29331,27854,505,303,1804,17117,7228,98893,97495,1843,65175,7733,835,1645,1136,132445,15589,9550,8540,199,3027,1728,840,6464,1290,175543,173053,3363,141183,218203,188473,184964,3152,1203,237393,229356
2016,5,11211,1334,7854,69661,59788,39745,1198,162570,122878,18022,8943,11944,33697,26228,337406,299833,10807,95713,133704,22452,79820,55607,552978,49727,35502,190595,10849,164715,94059,45730,18534,14168,793286,791185,2838,567822,822409,804210,801236,2660,1015,834095,829116
2016,6,16468,2289,10706,87709,83500,54386,2283,75644,66400,2556,1791,5107,34973,16372,195354,186604,5011,98788,26508,5229,5462,3707,291842,40415,23634,12390,502,7638,4363,2119,5177,1382,341191,339365,2466,309430,362826,350699,348100,2311,882,370397,367222
2016,7,14794,1813,10233,77554,74634,50000,1664,59159,53096,1736,1185,3900,29358,13243,158325,152586,3494,85237,16189,3429,4058,2766,213952,23941,15311,9790,403,6124,3499,1699,3975,1079,248150,246756,1882,223551,263784,255431,253423,1764,673,268998,266818
2016,8,11328,1205,8297,59346,57593,39837,983,42621,38913,1086,729,2758,22305,9788,115056,111547,2094,63959,9865,2097,2683,1834,147865,14004,9055,6025,277,4217,2408,1170,1866,596,165764,165153,825,153122,174716,168989,168076,773,295,178774,176911
2016,9,8679,854,6530,45094,44062,30903,644,29386,27486,589,379,1850,16529,6987,81711,79913,1247,47808,5801,1074,1633,1121,101885,8753,5584,3637,182,2764,1578,767,844,327,111498,111249,336,105079,116768,112751,112440,315,120,119634,118420
2016,10,7196,684,5476,37428,36639,25876,495,23950,22511,334,267,1508,13759,5770,66886,65524,954,39503,3014,814,342,219,79311,5982,4085,0,0,0,0,0,0,0,81023,81023,0,81023,83750,81023,81023,0,0,85699,84832
2016,11,5894,534,4550,30411,29831,21171,365,18678,17622,245,196,1169,10837,4534,53134,52135,702,31937,1549,596,251,161,58842,3121,2632,0,0,0,0,0,0,0,59267,59267,0,59267,61494,59267,59267,0,0,62547,61981
