Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,8183,1047,5547,26082,23430,9345,991,27607,19847,3582,1759,2070,3430,4305,77087,69741,3054,33068,27799,4389,16077,11204,128094,14945,10957,44928,2194,33355,19067,9247,11453,4160,222191,217235,4740,136103,276692,251779,241632,5874,1720,289951,284355
2015,2,4858,604,3337,15962,14085,5752,561,22340,16242,3262,1461,1639,2818,3366,55875,50102,2130,20908,25913,3449,16207,11320,98915,10669,7556,47502,2275,34586,19770,9588,12989,4501,206669,198095,5517,106900,305772,259924,241250,9612,2049,330022,319873
2015,3,2298,295,1554,7639,6454,2400,280,14170,10001,2125,980,1062,1299,2008,33436,29489,1327,10762,16793,2358,10238,7146,61487,6809,4661,30218,1425,21672,12388,6008,8690,2913,130764,126016,3754,66948,184374,159708,149662,5465,1376,197434,191961
2015,4,3800,682,2081,17134,14849,7006,772,32022,24981,4526,1822,2233,6959,5174,69911,63246,2614,23155,38021,3983,24791,17350,134020,15680,10286,71350,3563,54179,30971,15021,16626,6426,273093,267104,6630,145147,337338,308155,296269,7283,2390,352829,346314
2015,5,22259,3224,14142,77111,64312,22765,3293,155734,111814,14823,8987,12197,24030,25172,356590,315015,14407,110857,124444,24844,47375,32699,669994,105746,60940,122210,5692,86540,49469,23992,36576,11949,982487,967001,16008,725481,1150634,1074017,1042811,18600,5788,1190820,1174199
2015,6,5308,912,3010,30531,18371,5779,1013,163017,112127,18238,10602,12997,15933,23529,326436,278263,13204,62625,156877,28786,63392,43872,693903,110302,56026,202417,7906,120192,68706,33322,90526,23276,1343387,1302385,43713,784392,1786197,1584703,1502636,49520,15785,1892141,1848171
2015,7,15899,1549,12005,46053,41603,17055,1153,50182,34950,4922,3078,3966,5628,8126,139197,124777,5011,57785,39016,8616,14685,10112,233514,31628,19253,40809,1705,25923,14819,7187,16062,4438,351792,346391,7556,251756,406892,382193,372134,6891,2700,420403,414489
2015,8,3996,553,2603,17277,12274,4394,550,65342,44987,7015,4191,5220,6633,9597,136314,117046,5462,30476,60015,11514,23117,15972,282830,45270,22879,56037,2817,42828,24482,11874,12699,5005,404850,401390,5001,307735,439861,424202,417825,4447,1785,448353,444677
2015,9,843,95,604,3229,2504,1028,81,9846,6905,1283,653,758,1010,1418,20845,18060,792,5143,10393,1663,5497,3826,40985,5299,2985,13715,739,11243,6427,3117,2123,1110,62672,62559,658,43673,62918,62918,62918,245,229,62932,62918
2015,10,333,41,228,1276,1114,534,38,1698,1133,131,105,141,152,261,4552,4018,180,1701,879,319,134,86,7084,986,656,13,0,0,0,0,16,2,7689,7549,9,7382,9454,8622,8283,140,5,9923,9709
2015,11,502,58,356,1762,1592,761,50,2478,1927,128,102,187,704,470,5831,5309,192,2210,1488,311,131,84,11476,2145,992,543,0,0,0,0,660,111,16524,16021,357,12866,22279,19623,18542,570,131,23679,23096
2015,12,1269,184,805,4981,4340,1987,188,8315,6217,842,453,624,1641,1384,19325,17338,726,6671,8027,1186,3335,2317,39646,6573,3368,11459,437,6648,3800,1843,5326,1341,79097,75757,2590,45020,116911,99503,92413,3835,950,126156,122266
2016,1,209,25,145,1206,1042,669,23,3745,3103,311,148,263,1272,717,6669,6061,179,1637,2682,363,1453,1013,11888,1355,721,4612,200,3048,1742,845,1662,483,26257,24267,766,13187,50173,39009,34462,2125,298,56148,53606
2016,2,790,75,601,2787,2608,1407,54,2446,1867,224,123,180,545,441,6905,6357,203,3259,2007,327,859,596,11760,1572,873,2880,111,1691,967,468,1312,334,21744,20740,636,12997,33355,27982,25793,1122,236,36274,35008
2016,3,7663,720,5853,23263,22051,10558,514,16533,13252,1987,827,1129,4201,3117,50044,46938,1409,26454,17083,1855,10582,7402,81336,8571,5576,33079,1511,22973,13132,6369,10483,3302,160793,156205,4667,88470,210750,187971,178694,5495,1689,223025,217756
2016,4,32889,2995,25363,115534,108656,59514,2053,123503,101133,7021,4484,8986,41505,25585,303475,282299,7806,133663,45902,12654,19904,13679,394997,31205,25445,44157,2247,34173,19535,9474,9458,3880,477070,474762,3625,403218,499907,489758,485624,3026,1290,505266,503029
