Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1850,1,1092,119,791,5206,4815,3036,100,7896,6551,475,278,562,2842,1580,16975,15662,456,6236,3836,783,1806,1190,24689,2362,1626,5849,259,3643,1953,908,2371,663,41269,40290,1110,26393,57088,46964,45046,1195,400,64987,61511
1850,2,434,52,303,1855,1699,967,47,2601,2081,263,119,178,755,459,6235,5599,217,2265,2791,376,1578,1005,11246,1307,842,6270,268,3676,1926,850,2832,750,32543,29930,1353,12950,86536,52607,43198,2862,511,109846,99925
1850,3,1331,165,913,5085,4696,2437,154,5193,4057,404,231,378,1404,969,14306,12942,530,6113,3900,808,1827,1140,22409,2686,1956,5656,293,3874,1961,882,1815,604,36344,35436,787,23797,56592,41813,39937,1060,287,68438,63168
1850,4,21775,3424,13151,65131,61391,21083,3651,9457,8127,518,262,567,3510,2553,93639,91019,4521,74948,14660,1536,7688,3522,136562,21385,17566,31946,2047,21850,8516,3035,9832,3739,207430,205057,3960,143794,242440,220795,216141,3159,1407,252873,248220
1850,5,34287,5000,21700,105793,99928,38627,5125,48820,44454,2706,1125,3165,22805,11951,183565,180282,7544,121199,27510,1979,16806,10944,261874,38421,31342,52569,2899,39604,20719,9535,12305,5023,366045,361886,4733,272831,414691,392223,382091,5084,1704,423596,419808
1850,6,3426,496,2175,25694,24537,18309,507,66224,63213,947,611,4362,39023,16412,100634,98250,1314,28742,17035,1434,10430,4608,131361,8364,5457,38146,2921,30340,11314,3891,6008,3986,186297,185716,1314,135234,193253,189023,188312,844,463,195832,194697
1850,7,1801,477,597,8549,7731,3222,610,10390,9311,413,228,706,4983,2329,24965,23880,1905,10698,3756,647,1891,1203,39639,9628,8997,8788,307,4118,2118,958,5310,1205,71639,69993,2667,42739,88801,80324,77711,2175,948,94006,91762
1850,8,1517,226,947,5698,5367,2610,235,2293,1778,213,108,159,567,434,10953,10199,730,6569,2224,444,1152,725,17248,3416,3125,3345,186,2505,1289,587,798,324,23691,23473,308,17791,27177,24855,24511,278,110,28536,27948
1850,9,2432,160,2031,8276,8112,4887,54,5033,4529,225,114,324,2378,1176,14605,14209,137,8710,1666,238,1080,715,17022,488,385,3006,171,2391,1274,593,542,266,21912,21748,179,17278,24721,22859,22544,198,64,25824,25353
1850,10,25730,3651,16540,110073,100106,53504,3685,203679,174886,11467,6282,14263,82423,42675,391533,369354,11001,136334,87627,13360,52974,33807,547490,48590,39725,152813,8944,118832,60584,27407,30649,14264,809804,802041,10650,565251,883340,852468,839123,9863,3808,897180,891465
1850,11,1661,208,1136,6832,5854,2924,195,13855,10438,1110,718,1086,2920,2421,26822,25287,699,9411,7682,953,3086,2099,47602,6843,3248,11064,442,6168,3288,1528,5424,1362,87358,84044,2640,53395,133713,108376,100542,3819,967,147928,141818
1850,12,273,32,193,1323,1232,776,28,1825,1518,128,65,125,662,358,4273,3861,137,1565,1551,243,693,436,7700,1081,655,3705,114,1531,783,354,2505,538,22424,21744,1278,9302,31925,25804,24870,934,452,36920,34703
1851,1,765,90,536,3329,3061,1778,81,4498,3618,334,184,324,1390,860,10605,9647,332,4036,3066,570,1572,989,16387,1677,1181,5019,258,3430,1746,785,1623,536,28144,27655,706,17493,33559,30754,29978,628,252,34908,34330
1851,2,1650,288,923,9490,6791,3075,322,38677,27787,4195,2318,2996,5731,5958,77765,67308,3466,16613,32529,6246,18233,11884,132720,15012,11988,49077,2816,38776,20434,9440,9165,4410,215463,212432,3091,138186,249299,233809,227281,3631,1118,255749,253018
1851,3,1402,177,954,7382,5476,2769,167,27681,18941,2789,1643,2120,3492,4089,72277,56615,3989,12410,41413,9202,16379,9054,161172,26395,15775,53475,3080,36642,16582,6851,16791,5961,290485,283821,7039,177272,349709,327311,316392,8035,2543,357540,354265
1851,4,2959,688,1224,17827,15376,8267,850,54778,46753,3252,1656,3791,22202,11333,107651,94850,5509,24286,40641,7539,19945,11878,196151,31441,23260,55957,3601,45494,22040,9645,8428,5085,281238,280276,2172,205431,290247,285666,284571,1397,766,292037,291241
1851,5,29766,3588,20738,117104,111454,62262,3254,104671,92267,4134,2410,6818,49131,22755,279701,260443,8328,131970,47636,11349,21110,12369,381264,37305,29923,65333,3649,45517,21754,9388,19740,7036,526056,521130,8257,395450,568262,552369,544126,6565,2934,575563,572494
