Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,87,9,64,549,491,346,7,1355,1110,142,59,92,429,245,2727,2405,85,704,1581,190,924,590,5494,634,345,3191,158,2154,1121,507,1071,341,13987,13165,474,6205,33136,19283,17319,909,177,42851,38531
2015,2,579,74,392,2547,2214,1184,70,5108,3870,534,270,375,1100,856,11559,10145,461,3428,12607,839,8527,3849,29187,2915,1834,35572,2371,25146,9703,3401,9848,4071,104055,99311,3755,33731,208687,134797,122938,5462,1376,264781,240794
2015,3,166,20,114,751,660,368,19,1586,1247,172,78,112,408,274,3429,3030,127,991,1892,237,1001,645,7308,1114,639,3805,166,2283,1197,545,1651,447,19558,18313,782,8482,91481,28897,24583,1391,291,149534,123797
2015,4,699,88,478,2959,2529,1291,82,7309,5512,1154,436,487,1369,1095,18664,15137,917,4093,24177,2069,10605,6085,78844,17359,6492,49575,2189,26748,12491,5307,25139,6457,246056,236411,12143,100357,343971,298306,282862,12030,4355,373674,361016
2015,5,9394,1371,5942,37165,30906,13136,1406,76291,53107,8055,4665,5916,9416,11509,192717,163193,9363,53669,94958,17482,42136,24562,398022,62360,37316,140687,7769,95464,44870,19159,45713,15600,745575,726602,19573,439017,938235,855358,819498,22780,7078,976658,960674
2015,6,1511,429,429,8283,5298,879,557,46410,33297,11413,3639,2849,3495,5145,126196,95782,9012,16156,132531,17793,82069,54635,344935,52068,35598,229200,12865,184834,101055,47864,38603,19595,707490,699856,12355,371117,772722,746138,735652,10084,4394,787356,781226
2015,7,82,8,61,336,313,183,6,403,322,30,16,28,122,77,1036,928,40,398,367,63,167,100,1848,263,169,670,29,380,187,80,317,83,3959,3837,152,2077,13890,4967,4429,152,54,19979,17415
2015,8,72,4,61,556,483,375,0,1438,1101,138,71,105,343,245,3092,2651,110,746,1359,260,700,448,5468,580,378,2182,110,1515,793,361,678,227,10616,10314,293,5923,18868,12614,11795,358,106,22913,21147
2015,9,1130,133,794,13956,13077,11085,119,39468,36210,2142,883,2630,19567,8878,58225,57169,483,16276,34634,674,22241,11904,122933,14132,4560,82911,5336,61429,26676,10671,19755,8757,283334,277458,7148,138548,329839,316943,305845,7278,2567,332499,331365
2015,10,5668,895,3414,27843,24958,14049,956,60159,50132,4530,2102,4065,22291,11708,135994,116818,5890,35445,72775,11254,34206,19678,292121,46484,26742,130403,6668,81886,38459,16407,51028,15373,641014,627278,23176,331938,782986,718539,691357,18339,8234,809885,798707
