Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1850,1,19921,2810,12847,92645,87063,51517,2827,65459,52331,5511,2878,4635,19131,12223,201993,189567,6600,107339,42185,7425,22807,15862,289241,31086,24340,65574,3034,46153,26391,12790,19991,6452,439748,433233,8800,303536,513973,477409,464400,8249,3148,533254,525037
1850,2,29430,4396,18361,140867,131947,77944,4566,109655,88887,7997,4425,7754,35180,20950,320306,300647,10558,164349,59571,11747,30305,21027,449337,48574,38649,83581,3910,59477,34012,16481,24640,8126,638216,630269,10734,468219,731714,683636,668285,10061,3840,762856,749446
1850,3,45598,5189,32546,226256,216773,142944,4494,166825,143186,10907,5357,11150,67156,34297,469878,447502,11142,251226,83722,13371,48928,34097,628824,51620,40426,131436,6676,101495,58018,28139,28441,11583,871965,863852,10958,649020,958556,917053,902662,10272,3920,983432,972644
1850,4,19826,3259,11616,102603,93685,55059,3550,122345,97187,10662,5533,8744,35053,21954,302061,278247,10323,126093,82656,14230,44510,30963,465512,52064,37949,129031,5939,90319,51642,25032,39979,12772,765570,752477,17684,494783,914193,840359,815109,16577,6327,957622,939508
1850,5,18143,3186,10117,84581,77778,41595,3571,69991,54541,6205,3337,5075,18096,12468,207138,192514,8071,102485,45837,8739,24597,17087,301761,35341,29234,72026,3225,49049,28045,13594,24086,7335,476180,468118,10888,317404,574689,525131,506681,10206,3895,603180,591152
1850,6,17674,2576,11188,84629,79168,47065,2641,68632,55251,5647,2939,4843,20892,12823,197096,184429,6428,99005,42863,7569,23486,16336,283025,29753,23446,67859,3130,47609,27226,13192,20885,6700,439122,432295,9220,297310,559414,483110,464952,8643,3298,614640,591588
1850,7,12448,1734,8083,62963,59047,36866,1732,58574,48274,4320,2257,4074,20115,11268,154151,144401,4573,73277,32354,5826,17860,12421,216509,20614,16282,51344,2375,36132,20661,10013,15659,5053,333512,328408,6894,226829,396820,363604,352825,6462,2466,417443,408754
1850,8,42221,5991,27140,248084,226424,148850,6047,378127,305862,30477,15868,26742,119629,69373,832177,763770,24488,305183,229699,40878,126637,88084,1233134,110288,82893,451270,16872,256737,146860,71115,216355,53569,2634209,2555870,105813,1357616,3234969,3074208,2930622,99186,37857,3264953,3252332
1850,9,35401,5385,21840,179209,165786,99732,5647,183650,147095,13065,7609,13205,56757,34315,476736,442133,15608,214562,92810,20677,45254,31316,666680,67593,54529,130523,5635,85784,49083,23753,47667,13756,1003914,987595,22042,698865,1162110,1096974,1065662,20662,7886,1197161,1182026
1850,10,90940,11823,61186,453661,428640,272005,11308,377972,313220,21974,13271,26513,136947,75292,1038242,976947,29273,519549,150455,36627,70805,48884,1356837,122029,102679,187099,8540,129935,74319,35996,59310,18672,1796728,1777172,26414,1398298,2098303,1919467,1870723,24760,9450,2212166,2164658
1850,11,27864,3203,19806,130536,124006,78558,2798,89065,71505,6344,3667,6350,27348,17157,274626,258003,7604,147733,44718,9932,22287,15429,364168,31835,26293,65711,2791,42466,24285,11767,24929,7035,537526,528915,11630,379948,612947,586406,570107,10902,4161,622329,618331
1850,12,19477,2782,12472,110558,101064,65278,2820,154911,123970,9672,6194,11267,49090,29003,354517,325228,10771,135581,64084,17502,27216,18699,483735,44104,35469,71981,3060,46559,26628,12900,27253,7700,675449,666039,12709,503067,771278,730135,711053,11913,4547,793876,784038
1851,1,21790,2979,14292,109711,102413,63806,2941,107137,86707,8474,4461,7557,33783,20056,279690,260351,8456,128933,62418,11556,34668,24104,395521,36817,29464,99649,4595,69878,39952,19368,30714,9845,623175,613133,13564,414745,719792,679874,661174,12715,4853,738874,730207
1851,2,43409,6165,27889,201567,189801,112199,6226,135278,108769,9957,5603,9617,41644,25889,427410,402317,13972,232535,70651,14994,36677,25427,575414,57942,49696,103595,4682,71220,40730,19733,33774,10448,821468,810243,15162,596837,953190,886003,863942,14212,5424,998541,978829
1851,3,25387,4065,15149,126329,115272,66484,4373,142040,110719,13494,6928,10257,36299,24768,364198,334550,12794,155457,114672,17717,57168,39783,618706,82492,51758,169399,7664,116469,66556,32305,55205,17090,1037095,1018752,24775,669906,1203666,1137297,1106497,23223,8864,1232635,1220439
1851,4,33593,4860,21358,162948,154135,93652,4960,117521,98948,7325,3988,8059,44580,23744,346159,328578,10533,186138,60936,10506,28490,19781,495271,57907,41961,102320,3710,56438,32272,15640,51349,12415,832984,814248,25307,533666,1032800,939860,903879,23722,9054,1083036,1061905
1851,5,82219,12754,50105,406631,383927,230924,13505,305304,260603,16400,9380,20824,123940,62980,875912,833597,27303,466367,122281,25286,58722,40677,1172920,125854,102102,151033,7413,112697,64422,31245,37766,13902,1486595,1475110,15512,1208518,1598742,1549413,1530050,14541,5550,1624211,1613420
1851,6,34590,4556,23125,169605,161062,101363,4394,125633,105836,7350,4169,8642,48130,25552,361917,343177,10116,192093,57365,11198,26700,18503,497681,52031,38631,77099,3390,51556,29479,14288,27009,7995,696580,687430,12359,521340,784212,747980,731203,11585,4421,800972,793683
1851,7,21580,2599,15042,104797,99526,63634,2354,79507,65746,5665,2997,5507,27624,15615,228031,215004,6160,118678,42022,7784,23014,15998,309085,27158,21780,67401,3043,46364,26546,12827,21945,6790,469150,461857,9851,323108,574725,519076,496746,9234,3524,604405,591853
1851,8,39323,5435,25641,178706,167687,98135,5403,118087,91410,8991,5456,8687,30343,21771,384704,359451,12987,207713,60801,15090,28675,19791,515945,52472,45128,71293,3442,52320,29904,14508,18961,6694,665813,659910,7973,529670,721326,698917,688149,7474,2852,731193,726962
1851,9,36349,4066,26123,176195,168671,110212,3471,120682,101518,6492,3926,8339,46273,24879,358491,340350,8818,196006,53935,10840,20870,14407,500519,53911,35658,63296,2514,38277,21903,10597,27414,7171,695866,686124,13158,529428,838330,752499,732726,12334,4707,890751,868970
1851,10,208652,21945,153473,902884,870735,545152,17707,322927,253490,21565,13877,23310,87123,65554,1468270,1402540,38338,987494,144021,39278,59942,41165,1821916,158825,137250,154973,6693,101927,58338,28212,56504,16320,2226836,2207498,26120,1865031,2538798,2349842,2300007,24484,9345,2651556,2605005
1851,11,38776,4286,27996,175666,168463,106554,3621,90991,73937,6388,3602,6383,29073,18161,323480,307337,8510,194627,46011,9646,23460,16263,420220,36623,30330,65933,2991,45511,26031,12607,21260,6622,576637,569592,9514,434684,671024,618430,603291,8919,3404,701419,688461
1851,12,52647,6139,37204,237970,226810,140708,5425,131522,104295,8929,5525,9492,38276,25581,458875,433102,13143,267350,62373,15400,27288,18805,602517,57702,47018,72306,3208,48831,27939,13521,24713,7423,784122,775802,11238,622423,878782,833147,815605,10534,4020,900611,891085
1852,1,55552,7100,37685,266861,252356,157509,6713,198823,161973,12445,7542,14112,66554,38997,584305,549423,17005,305052,88690,20844,39813,27481,784131,76872,60967,105602,4786,72850,41682,20172,34109,10611,1040082,1028773,15274,812464,1191291,1107598,1082869,14317,5464,1239767,1218951
1852,2,49359,5366,35865,230141,220601,142217,4466,135671,111652,7571,4820,9551,47498,27663,443465,420729,11196,255259,51876,13586,21631,14871,563896,48554,39610,55306,2453,37338,21359,10342,18917,5680,703504,697134,8604,579763,777958,741050,727606,8065,3078,794917,787724
1852,3,52348,6826,35169,234839,224464,135025,6541,108807,89981,6850,3940,7540,37854,22392,415903,398082,12561,262132,49123,10649,24276,16811,534480,53571,46436,68495,3052,46502,26628,12863,23096,6992,702422,694672,10467,550586,801683,747427,731746,9812,3745,830628,817895
1852,4,50819,5563,36829,240145,229622,148562,4659,156442,128793,10257,5822,10921,53815,31230,484172,458000,12289,267855,78574,15639,37229,25799,658823,62484,45741,106752,4725,71860,41088,19916,36782,10998,929561,917153,16759,689572,1045357,997375,976509,15710,5996,1066902,1057852
1852,5,59670,12378,28478,264871,240288,110363,14765,191622,143839,17060,9943,14382,40607,32902,633004,587772,29594,329547,130605,27029,59005,40830,970146,145054,114027,150190,7343,111630,63806,30953,38122,13891,1291560,1279899,15750,1012599,1487746,1363193,1335682,14764,5635,1566652,1533698
1852,6,29540,3889,19753,136465,129437,78518,3750,82794,67092,4978,3156,5906,27111,16428,273139,258275,8353,154964,35453,8882,14366,9880,363087,38530,30920,36661,1638,24940,14268,6906,12295,3736,455998,451880,5563,375025,507927,480079,471583,5214,1990,523433,516410
1852,7,32134,3942,22215,146345,139476,85835,3621,81169,65636,5445,3214,5752,25757,16058,280483,265778,8153,164423,38904,8786,18375,12705,369337,35934,29491,47120,2262,34435,19698,9538,12722,4444,470842,466858,5381,380030,515210,494145,485915,5044,1925,525468,520992
1852,8,47348,4865,35116,214755,206976,133622,3836,105459,86717,6753,3911,7340,35749,21610,382124,364383,9174,235234,50539,10601,23637,16362,497909,44273,34021,64546,2956,44960,25706,12461,20284,6422,652184,645514,9010,515498,749531,692701,677425,8446,3223,780576,767351
1852,9,43112,6577,26551,198133,183908,103805,6906,151268,116528,13143,7360,11091,36930,26960,463392,430508,16750,235582,97611,19651,48815,33850,669962,76300,61087,162390,6251,95169,54459,26348,74259,18855,1161421,1134758,36013,717507,1407182,1314530,1262305,33758,12884,1440901,1426463
1852,10,27799,3326,19431,125405,119604,73693,2998,66260,52879,4094,2663,4777,20121,13117,236840,224174,6873,140676,30440,7569,11058,7585,319074,34906,26419,30114,1213,18491,10586,5116,12682,3369,409981,405499,6053,332345,454930,436060,426939,5674,2165,463117,459517
