Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,18262,2809,11188,88172,81077,46793,2963,88976,69559,9715,4534,6311,21952,15283,237501,219121,8245,106860,77833,10983,46236,32264,383848,43760,31294,122299,6416,97544,55762,27042,22447,10310,592541,586700,7889,402390,676001,625489,614642,7395,2822,712451,696654
2015,2,49852,6048,34634,242044,225472,141398,5511,242326,190870,28895,12575,16874,59899,41458,635536,586828,18936,285712,233439,29106,147721,103241,1031970,100562,69453,404931,20887,317516,181497,88035,81374,34959,1748111,1725775,30170,1088173,2062372,1888292,1832627,28280,10794,2158344,2117737
2015,3,48343,6213,32707,222138,207910,124846,5897,167182,128053,14578,8250,12306,39427,29788,510669,473628,16524,259614,112727,22134,53178,36857,760182,86967,61883,151382,6762,102825,58784,28504,50965,15459,1139542,1122455,23079,804367,1367879,1245633,1204194,21634,8257,1434401,1406337
2015,4,20553,2869,13329,97397,90223,53418,2870,89213,69036,8907,4501,6441,21450,15514,248542,229443,8308,116293,70412,11413,38544,26837,388513,44056,31235,107217,5202,79097,45219,21926,27984,10004,613451,604798,11687,410988,713580,663648,646189,10955,4181,738155,727948
2015,5,15122,2115,9796,75198,68787,41448,2118,87057,67091,8521,4402,6336,20779,14959,220838,201938,7323,92093,66482,11294,35794,24904,350255,38793,26773,97521,4786,72786,41618,20172,24364,8972,549860,542453,10005,370392,721773,595285,577888,9378,3579,824137,782123
2015,6,62693,16650,20716,268610,241563,84727,21307,138748,108103,12008,6566,10082,36052,24832,564898,535889,33716,339689,97415,17334,46378,32196,868780,157937,132489,121078,6025,91619,52377,25398,28630,10952,1118284,1109777,11490,902445,1212251,1168544,1150473,10771,4111,1234236,1224776
2015,7,26126,3892,16327,123509,114583,66491,4036,107176,84086,10632,5228,7639,27663,18937,304374,282518,10443,147014,81472,13060,47616,33181,457038,48359,37562,127942,6494,99023,56732,27371,27415,11225,692391,684600,10523,476468,905510,748673,721871,9864,3765,1039907,981808
2015,8,35605,5148,22643,169801,157682,93012,5253,151404,119071,14728,7293,10788,39796,26879,422902,392295,14128,201719,113309,18290,65394,45560,636909,67165,51093,174242,8895,135348,77417,37494,36679,15229,955402,945079,13943,664236,1086176,1017996,994460,13069,4988,1127548,1109602
2015,9,55164,7327,36722,250291,235356,139534,7107,172383,135279,20266,8967,12019,41462,30090,543412,508290,17555,289614,156822,20988,101959,71234,804994,75333,62413,294085,14358,218493,124991,60517,74779,27200,1392365,1369469,30927,845513,1715905,1552107,1479001,28990,11064,1798467,1763790
2015,10,27569,3553,18628,135563,126828,79277,3378,129536,104463,14095,6130,8895,37038,23116,341356,317621,10089,158575,113840,14183,72102,50392,537613,52274,37286,199760,10196,155040,88640,42976,42211,17484,900626,888726,16073,566152,1054223,972661,945651,15066,5750,1096565,1077826
2015,11,19931,2581,13436,95076,89062,54678,2462,83331,66658,10012,4190,5699,22109,14547,229924,214141,6978,110917,85682,9431,53063,37112,387859,43298,27896,154079,7569,115093,65801,31903,38372,14162,699683,688032,15736,416663,832055,769048,743766,14751,5630,868878,853475
2015,12,37558,5308,24196,171988,162287,95386,5346,107672,86735,9175,4658,7544,32290,20383,352794,332975,11569,197518,73016,11843,39456,27468,511606,58160,44141,110585,5315,80833,46221,22401,29832,10430,749050,739713,12611,536049,867208,803580,784379,11822,4512,904278,888171
2016,1,20789,2900,13489,95438,88767,51674,2898,76215,58444,8074,4005,5510,16984,13106,227590,210768,7779,113009,62869,10052,35778,24925,348627,38262,28529,98265,4864,73993,42318,20501,23708,8941,543541,536435,9599,366324,641194,586756,570431,8997,3434,674244,660121
