Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
1850,1,10503,1768,6049,42970,40428,20189,1946,11264,8141,1422,704,826,1328,1968,69450,66493,3156,49652,10153,1766,6310,4396,93765,12549,11989,15311,858,13050,7461,3617,1724,1164,113685,113416,364,94553,116353,115102,114706,341,130,117879,116471
1850,2,3508,415,2462,15317,14851,9134,372,4534,4028,377,140,278,1902,1021,22530,22051,582,16542,5633,286,2201,1542,41545,7166,3445,5955,320,4870,2781,1352,937,484,53828,53610,294,45242,58890,56007,54652,275,105,59151,58978
1850,3,13,5,0,1535,674,454,7,14879,10996,2828,1064,1036,1751,1963,26292,22616,920,3808,21889,2196,16333,11442,52498,2894,2552,43559,2375,36109,20638,10013,6226,3466,114540,113212,1793,54431,123446,121547,119564,1681,641,123776,123578
1850,4,5824,1206,2783,24567,21952,9235,1438,17411,11755,1525,1089,1425,1581,2706,61715,56361,3118,31450,12181,3199,3033,2051,103407,19555,14248,5297,260,3948,2255,1096,1329,488,118451,118047,546,108679,135275,120528,119982,512,195,150304,144008
1850,5,45189,10156,19592,195472,173074,69587,12425,170478,122484,23233,11069,12747,20983,25379,534232,488801,26730,254419,181183,27148,108037,75351,889604,125016,101526,314473,14895,226406,129403,62783,89302,30190,1571662,1543215,38424,946751,1779463,1726253,1679298,36017,13747,1796407,1789317
1850,6,11108,2538,4710,46967,42740,17337,3120,23580,17882,2871,1334,1694,4601,3928,96691,91297,5221,58080,21498,3223,13728,9580,143027,21185,19728,38702,1907,28983,16562,8039,9540,3547,218611,215727,3895,147948,256979,237427,229524,3651,1393,270367,263957
1850,7,11049,1391,7547,50736,47823,29065,1302,34534,26936,2665,1572,2519,9170,6405,109423,102231,3404,58407,17226,4297,9006,6227,141920,12233,11411,20101,1109,16851,9624,4677,2628,1572,169830,169321,686,143147,175249,172828,171753,643,245,176375,175913
1850,8,23528,3667,14292,100500,93186,49133,3893,59887,43510,8109,3809,4408,7836,9426,216516,201012,8690,119749,58600,9264,38315,26732,314768,32587,30498,98426,5306,80588,46033,22365,15360,7988,462236,458688,4792,320868,499355,481870,475662,4492,1714,511412,506392
1850,9,31488,4449,20288,141186,130750,74190,4480,113289,85260,15372,6785,8098,19881,18146,342354,315822,12155,168669,115231,15854,77529,54169,520991,47375,41396,197176,10924,166254,95111,46045,24573,15259,788182,783700,6053,531593,954697,839468,805140,5674,2165,1024466,994217
1850,10,23615,4401,12526,105732,97285,48872,5053,68893,52389,4046,3106,5246,17282,12708,235417,219794,10163,127953,21402,9336,5615,3706,298895,36620,35530,7222,260,3954,2260,1096,3661,880,322508,321170,1807,301221,334446,329712,327572,1694,646,338076,336379
1850,11,4039,308,3265,16990,16497,10863,157,5986,4424,1044,411,409,625,986,27529,26050,562,18291,12261,883,5826,4079,59090,9571,3848,20367,841,12768,7291,3544,8234,2241,119065,116181,3895,68043,139158,133979,129978,3651,1393,140896,140102
1850,12,0,0,0,0,0,0,0,223,223,189,33,0,0,0,223,223,0,0,3210,0,1518,1069,8758,2402,620,9498,234,3553,2029,986,6947,1406,51011,48345,3601,13838,82773,67549,61099,3375,1288,90882,87450
1851,1,26,10,0,390,172,45,14,2894,1965,243,177,238,311,431,5693,4814,235,965,1345,525,445,300,8072,733,677,766,34,527,301,146,249,77,9870,9787,112,8208,12752,10484,10184,105,40,14043,13401
1851,2,3536,363,2623,14718,14101,8616,286,6072,4510,1438,481,390,394,860,25824,24346,722,16341,11440,883,8975,6296,40536,2726,2605,23137,1326,20181,11542,5591,2013,1689,67171,67015,210,40810,70931,68131,67760,197,75,73214,72244
1851,3,3697,1465,0,16460,12534,136,2025,32073,22998,6243,2421,2286,2521,4028,79142,70551,4651,26797,49683,5133,35227,24668,157312,20622,17055,88161,5098,77411,44211,21488,6994,6369,258259,257958,406,160764,267099,260016,259397,380,145,272207,270138
1851,4,66863,12877,34420,304663,272275,131155,14966,311015,228619,36466,18397,23212,51502,49132,880742,802746,37967,389945,261220,46608,158122,110101,1338182,149334,131903,400485,21355,324229,185161,90008,67252,33061,1969088,1952634,22224,1373444,2100684,2056381,2031346,20833,7951,2122446,2113474
1851,5,6049,2186,535,28207,21748,2621,2977,62311,45849,13521,4782,4237,5619,7717,143429,127846,7569,45214,118319,9312,81468,57116,342851,49438,32355,228647,11956,181752,103890,50394,42759,19369,731611,720354,15204,372701,836723,795587,774202,14252,5439,853972,846680
1851,6,19518,3752,10063,109946,92996,50277,4358,244177,186010,38224,15203,17035,43922,36393,517999,462938,19077,154631,294581,32903,211459,148020,917223,72830,61309,537639,30468,462826,264416,128416,54645,40223,1581603,1574662,9374,935365,1628256,1619549,1607864,8787,3354,1628523,1628404
1851,7,11961,2388,5941,56584,48936,22836,2812,82626,60043,11386,5289,6123,11331,12234,207031,185654,8801,76735,84341,12774,54469,38014,340494,35216,29795,136327,7569,114973,65681,31903,16939,10558,526035,522964,4147,348896,553909,543181,537654,3888,1484,560421,557701
1851,8,3607,497,2355,15034,14360,8055,493,3922,2994,412,207,278,774,758,23163,22284,832,16809,3478,525,1795,1250,32317,4177,3388,6731,242,3690,2109,1023,3407,820,54442,53197,1681,34626,67302,61471,59153,1576,601,71195,69588
1851,9,4252,1431,642,21060,16142,3200,1925,47687,33672,6209,3130,3658,5388,6797,111507,98241,5685,34014,49225,7927,26955,18769,210201,31004,21641,69270,3641,55338,31624,15348,12596,5827,329875,326618,4400,222685,353937,347411,342201,4124,1574,356905,355545
1851,10,1321,99,1070,8972,6175,3789,50,38665,26170,3691,2463,3160,3615,5671,79519,67691,2994,16354,31369,7067,9272,6341,163143,26967,13235,21711,971,14749,8425,4092,7305,2217,226694,224246,3307,178645,291090,243126,235958,3099,1183,325777,311610
1851,11,3243,438,2141,16262,15425,9759,429,13018,11076,830,428,881,5119,2639,35814,33976,990,18463,6679,1098,3498,2434,50411,5314,3990,11556,468,7107,4058,1973,4849,1292,83504,81792,2312,53791,111321,92778,89981,2167,827,123018,118078
1851,12,0,0,0,22,3,0,0,713,629,413,85,21,21,36,950,870,19,71,3603,47,3169,2230,4629,54,51,8362,485,7376,4214,2046,620,598,13707,13696,14,4643,19579,13975,13746,13,5,24289,22072
1852,1,0,0,0,22,3,0,0,697,612,399,83,21,21,36,933,853,19,71,3546,47,3056,2151,4604,75,57,9532,468,7109,4060,1973,2387,878,23120,22394,980,5555,35871,27078,25868,919,350,43530,40179
