Year,Month,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,G4,G5,H1,H2,I1,I2,I3,I4,J1,J2,J3,J4,J5,K1,K2
2015,1,1928,446,802,8485,7459,2955,551,9164,6885,1872,662,615,1115,1238,25496,23338,1220,11187,19653,1289,11283,7910,69504,13026,6424,35778,1656,25152,14368,6979,10943,3527,154596,151028,4820,80132,192203,173410,168100,4518,1724,200264,196762
2015,2,0,0,0,515,88,0,0,7206,5264,1688,580,484,489,844,12647,10809,455,1643,14533,1098,10359,7265,33781,3423,1748,28726,1526,23178,13240,6431,4926,2382,80025,78801,1653,36855,95726,86254,84657,1549,591,101066,98602
2015,3,4536,1311,1231,19822,16604,4408,1710,22679,15460,1958,1392,1855,2438,3443,67217,60385,3823,28292,32764,4083,3967,2685,203944,54248,24901,21327,346,5265,3006,1461,19110,3566,339034,331554,10103,240449,410497,378352,367337,9470,3614,419739,415454
2015,4,7757,2333,1873,38868,31039,9198,3070,84089,61802,14108,5729,6009,10793,11660,190994,169896,9052,59492,125915,12607,76725,53689,436067,67866,39600,203205,11011,167207,95499,46411,30640,16368,757653,750785,9276,470419,842190,793273,783639,8695,3318,853385,848312
2015,5,44635,7732,25159,206730,189232,100641,8617,182505,140294,19772,9618,13162,41208,30964,528586,488629,20633,252796,155608,23877,89734,62550,836890,102528,77648,238030,12286,186663,106655,51783,47802,20552,1263458,1250345,17712,875688,1352399,1334005,1313076,16603,6337,1354493,1353638
2015,6,28716,3923,18842,124812,117807,67488,3872,63403,48334,6729,3375,4577,13293,11230,240944,226679,8356,143247,50272,8524,29399,20474,341098,36825,30903,73465,3979,60439,34522,16773,11093,5919,453310,450820,3363,349396,472304,467406,462731,3152,1203,472519,472422
2015,7,11541,1777,7066,50580,45998,24303,1875,57923,45218,17513,4947,3332,5057,6671,147757,135730,5316,62649,162606,7187,119489,83944,398340,48805,26634,370277,17956,273612,156677,75683,96108,34452,1153751,1124079,40077,456714,1581938,1362308,1266019,37567,14338,1699046,1650683
2015,8,51894,7536,32921,254796,226660,130047,7708,352964,258454,36596,20174,26793,61040,56603,876374,786910,31776,328968,256845,53461,139524,96824,1328572,131447,105276,329977,18043,274078,156579,76048,46455,26190,1815189,1805437,13172,1362948,1880394,1866281,1852088,12347,4712,1882517,1881575
2015,9,54863,8586,33242,240662,220862,117383,9132,185776,135334,23696,11506,13789,26617,29171,588599,540850,23207,292798,179644,28533,107777,75131,916889,103962,83542,283702,14765,224359,128202,62234,54544,24212,1405008,1390411,19716,953290,1579148,1493698,1460239,18481,7054,1632148,1610010
2015,10,55843,10861,28478,254718,219738,99642,12668,335963,231828,33327,20986,26895,36615,50927,902284,803710,40209,346883,210534,58905,97781,67288,1301968,143533,129823,238743,11254,171154,97865,47434,68749,23024,1818973,1796969,29722,1340428,2104778,1968735,1902233,27860,10633,2163094,2139283
2015,11,906,168,481,3638,3416,1582,193,533,364,39,31,42,42,106,5323,5163,280,4219,267,95,40,25,6996,1203,1103,106,0,0,0,0,129,21,7790,7738,70,7151,12453,8268,7987,65,25,15282,13973
2015,12,5504,973,3051,26418,22551,11159,1095,46633,33801,7777,3237,3370,5166,6477,109704,97557,4374,36610,61047,7258,41407,28963,201106,19640,14844,110890,5913,89800,51292,24923,18592,9149,375876,371332,6137,211071,423152,401292,393070,5753,2195,434239,429407
2016,1,274,108,0,2682,1248,90,150,19922,14054,3339,1441,1478,1634,2606,38050,32496,1564,6466,30094,3318,17199,12022,97392,15190,7412,46529,2436,36997,21131,10268,8684,3942,180315,178033,3082,107358,218211,192567,188951,2889,1102,236642,228936
2016,2,74,8,53,345,301,175,7,520,351,53,33,42,42,77,1321,1161,48,461,741,95,152,104,3944,924,362,661,17,264,151,73,461,95,7179,7003,238,4685,16097,8375,7846,223,85,22162,19505
2016,3,744,146,374,3368,2851,1230,171,5578,3974,1054,419,400,404,723,13659,12140,590,4729,8550,907,5836,4085,27004,3142,2351,16746,841,12771,7295,3544,3828,1500,58423,57302,1513,29138,77729,65447,62662,1418,541,85852,82376
2016,4,45283,4619,33671,200828,191357,120970,3614,110881,83486,8131,5408,8350,24506,20496,394739,368807,10928,225778,72464,15496,20636,14119,612030,83594,49957,67747,2176,33038,18866,9172,39595,8875,883678,868894,19968,661412,1021671,964220,939616,18718,7144,1052205,1038311
2016,5,21015,4748,9046,109502,91208,41303,5818,215144,157188,25822,12971,16162,34300,32827,493455,438593,20845,157716,184802,32783,112602,78416,791101,80044,67892,275431,15234,231447,132242,64208,35318,21456,1172087,1165417,9010,809482,1231870,1211673,1197328,8446,3223,1234072,1233168
2016,6,1554,107,1284,6788,6562,4447,42,3186,2341,231,163,243,598,593,12277,11478,251,7386,1838,477,482,326,17526,2038,1316,1855,43,660,378,182,1400,279,26317,25777,728,18867,32085,29912,28358,683,260,32418,32277
2016,7,78930,16262,37953,394364,355975,183510,19353,457084,366415,56690,23184,31213,122807,77601,1153932,1068103,45371,495423,429750,51288,306475,214435,1787419,165169,153932,809674,43924,668055,382015,185133,119819,64889,2964624,2938190,35705,1829641,3250428,3142066,3064645,33469,12774,3276840,3265312
2016,8,10662,898,8404,46212,45130,29835,551,14498,11966,1411,617,956,4420,3026,69199,66802,1280,49061,11881,1432,7182,5019,91609,7090,5336,28067,1014,15433,8827,4275,14148,3412,182204,177037,6978,99825,249566,211442,201753,6541,2496,274432,263447
2016,9,30148,7945,10117,128187,111644,35826,10149,112858,81622,18579,7818,8178,12279,15846,358293,328725,19964,171709,152935,17669,97975,68518,655596,101447,79500,261122,13959,212165,121260,58836,42879,21429,1072609,1062286,13943,688362,1193608,1144193,1111667,13069,4988,1205818,1200601
2016,10,16866,3718,7494,72228,67425,29934,4523,21621,19384,1764,636,1332,9592,4702,116467,114349,6155,84839,15784,1265,10486,7350,165504,28014,25122,27962,1534,23355,13361,6468,3771,2197,206711,205954,1022,169091,239742,211291,209577,958,365,265656,254892
2016,11,262,40,160,1219,1076,572,42,1522,1057,129,90,122,194,240,4079,3640,162,1596,813,262,279,189,5874,674,550,764,26,414,244,109,394,92,8452,8307,196,6164,11945,9557,9001,183,70,13637,12874
2016,12,104,41,0,1291,568,90,57,9966,6927,1339,677,772,921,1376,19182,16305,784,3200,10152,1719,5784,4027,36902,4490,3025,13805,780,11849,6768,3288,1447,1038,55217,55020,266,38432,58045,56256,55963,249,95,59867,59063
2017,1,0,0,0,1659,285,0,0,18498,12251,1451,1161,1560,1576,2716,36005,30091,1466,5288,13600,3533,1487,953,81352,15736,6818,362,0,0,0,0,440,74,91817,91641,238,89643,97962,92725,92484,223,85,102069,100234
2017,2,1503,532,160,8416,5759,845,722,27543,18595,2297,1702,2281,2798,4094,61367,52897,3000,15422,14403,5062,3873,2593,96233,13258,10076,5531,268,4080,2330,1132,1443,516,109964,109517,602,99521,116570,112216,111652,564,215,120533,118886
2017,3,0,0,0,0,0,0,0,33,33,28,4,0,0,0,33,33,0,0,296,0,224,158,732,350,319,1181,34,536,311,146,742,160,5224,4943,378,1122,7670,6758,6283,354,135,8380,8053
2017,4,13768,2405,7708,64355,54770,26458,2691,104220,72308,12865,6902,8135,9981,15095,259603,229396,10839,89620,138959,18051,51179,35557,658231,132898,59895,138979,6719,102022,58264,28321,36917,13052,1004688,993204,15512,739515,1089491,1065316,1048143,14541,5550,1100002,1095672
2017,5,22373,2892,15095,100001,92194,53407,2755,89682,66129,13587,5820,6438,12425,13590,259753,237457,8958,120573,103002,13323,70503,49289,413043,36046,30551,176211,10005,152020,86862,42172,17486,13132,630221,628125,2830,420231,654375,644227,638150,2653,1012,658329,656617
2017,6,81555,10329,55565,365068,343562,204797,9705,242027,186308,28831,13181,17158,51870,41517,784785,732042,25158,421701,211098,31518,140300,97952,1117233,93788,84528,337660,19586,297415,169865,82553,25590,24253,1493483,1492840,868,1125232,1505208,1498492,1495917,814,310,1509167,1507554
2017,7,2062,521,749,10136,7967,2689,658,28972,21965,8096,2451,1783,2153,3236,59349,52716,2464,15853,67198,3963,53405,37498,139568,9332,8032,156670,7976,121522,69576,33620,33221,13711,415579,406190,12681,152701,531968,481813,451105,11887,4537,549482,542029
2017,8,27769,8083,7387,139589,104339,26130,10564,379222,264745,56486,26594,28862,32048,51415,848767,740403,40017,232499,403029,64755,266253,185757,1426402,133234,123514,652275,36849,560196,320229,155313,68031,48974,2235984,2226812,12387,1444385,2308586,2288026,2270685,11611,4432,2312078,2310666
2017,9,5133,1377,1659,27340,19573,5496,1767,94519,66870,16978,7015,6912,7053,12164,198615,172442,8689,47820,142723,15639,90991,63654,442096,57435,34755,248018,13014,197847,113097,54852,45480,20904,863001,851174,15975,477564,949161,928388,907751,14974,5715,956075,952406
